机构ID	机构名称	报表时间	本年度捐赠收入_现金	来自境内的捐赠_现金	来自境内自然人的捐赠_现金	来自境内法人或者其他组织的捐赠_现金	来自境外的捐赠_现金	来自境外自然人的捐赠_现金	来自境外法人或者其他组织的捐赠_现金	接受非公益性捐赠情况_现金	本年度捐赠收入_非现金	来自境内的捐赠_非现金	来自境内自然人的捐赠_非现金	来自境内法人或者其他组织的捐赠_非现金	来自境外的捐赠_非现金	来自境外自然人的捐赠_非现金	来自境外法人或者其他组织的捐赠_非现金	接受非公益性捐赠情况_非现金	上年度基金余额	本年度总支出	本年度用于公益事业的支出	工作人员工资福利支出	行政办公支出	捐赠主体ID	捐赠主体名称	捐赠额_现金_限定	捐赠额_非现金_限定	捐赠额_现金_非限定	捐赠额_非现金_非限定	用途
ricf_oid	ba_cn	fp_dt	ao_ad	ao_dd	ao_ddc	ao_ddi	ao_od	ao_odn	ao_odi	ao_nni	ao_adn	ao_ddn	ao_ddnn	ao_ddin	ao_odnn	ao_odnn	ao_odin	ao_nnin	ao_lst	ao_ate	ao_cc	ao_slr	ao_adex	ao_did	ao_dn	ao_dcae	ao_ncae	ao_dcan	ao_ncan	ao_use
2600	湖南省浏阳市特殊教育学校教育基金会	2013	236315	236315	236315	0	0	0	0	0	0	0	0	0	0	0	0	0		460139.8	443188.8	10400	6551							
2602	湖南省湖湘文化基金会	2013	360158	360158	215000	145158	0	0	0	0	0	0	0	0	0	0	0	0		599898	543100	30000	26798							
2603	湖南省湘南学院教育基金会	2013	4967044.53	4967044.53	3443744.53	1523300	0	0	0	0	0	0	0	0	0	0	0	0		2995769.7	2995723.7	0	0							
2605	湖南省湘西自治州教育基金会	2013	516427	516427	321677	194750	0	0	0	0	0	0	0	0	0	0	0	0		502501.92	468473.1	31846.5	0							
2606	湖南省湘阴县教师奖励基金会	2013	566450	566450	566450	0	0	0	0	0	0	0	0	0	0	0	0	0		745534	698603	20160	26771							
2607	湖南省炎帝陵基金会	2013	1000000	1000000	0	1000000	0	0	0	0	0	0	0	0	0	0	0	0		499877.7	481127.2	0	18750.5							
2608	湖南省祁阳县教育基金会	2013	1949281	1949281	532021	1417260	0	0	0	0	0	0	0	0	0	0	0	0		744874	682800	2200	59874							
2610	湖南省老龄事业发展基金会	2013	173991	173991	73991	100000	0	0	0	0	0	0	0	0	0	0	0	0		642812.2	518892.5	88400	14393							
2611	湖南省职工扶贫基金会	2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		701391	687000	0	14391							
2612	湖南省茶祖神农基金会	2013	471547.23	471547.23	0	471547.23	0	0	0	0	0	0	0	0	0	0	0	0		1412376.8	1347446	44960	7401.8							
2613	湖南省袁隆平农业科技奖励基金会	2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		115166.6	108107	0	7059.6							
2614	湖南省见义勇为基金会	2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		897389	856869	0	40520							
2615	湖南省资兴市教育基金会	2013	2734457	2734457	1560057	1174400	0	0	0	0	0	0	0	0	0	0	0	0		2413842.75	2203111	0	41954.85							
2616	湖南省邵阳建国慈善基金会	2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		444943.74	432000	12943.74	0							
2617	湖南省郴州市临武县教育基金会	2013	3457271	3457271	1647271	1810000	0	0	0	0	0	0	0	0	0	0	0	0		3584947.07	3414451.6	33360	137135.47							
2618	湖南省郴州市北湖区教育基金会	2013	3858774.55	3559162.05	150000	3409162.05	299612.5	0	299612.5	0	0	0	0	0	0	0	0	0		3829817.9	3527274.5	15000	79191.4							
