ricf_oid	ba_cn	nacao_uscc	name_set
328	云南民间国际友好交流基金会	53530000086368374R	云南民间国际友好交流基金会
329	云南海佳助老基金会	535300005551047436	云南海佳助老基金会
330	云南滇池保护治理基金会	53530000552724146R	云南滇池保护治理基金会
331	云南省俊发教育扶贫基金会	53530000662605308R	云南省俊发教育扶贫基金会
332	云南省公安民警英烈基金会	53530000778570960B	云南省公安民警英烈基金会
333	云南省关心下一代基金会	535300005873667640	云南省关心下一代基金会
334	云南省医疗扶贫基金会	5353000069568214XL	云南省医疗扶贫基金会
335	云南省妇女儿童发展基金会	53530000K3764469X9	云南省妇女儿童发展基金会#云南省儿童少年基金会
336	云南省工业人才发展基金会	53530000064257278E	云南省工业人才发展基金会
337	云南省扶贫基金会	535300005183588240	云南省扶贫基金会
338	云南省普洱市教育基金会	535300006787308751	云南省普洱市教育基金会
339	云南省杨善洲绿化基金会	5353000057467379XM	云南省杨善洲绿化基金会
340	云南省残疾人福利基金会	53530000518359931L	云南省残疾人福利基金会
341	云南省法律援助基金会	535300006956836360	云南省法律援助基金会
342	云南省泸商长江公益基金会	53530000083273847T	云南省泸商长江公益基金会
343	云南省温暖工程慈善基金会	53530000568825750B	云南省温暖工程慈善基金会
344	云南省生物多样性保护基金会	53530000563176368B	云南省生物多样性保护基金会
345	云南省禁毒与防治艾滋病基金会	53530000778577089Q	云南省禁毒与防治艾滋病基金会
346	云南省绿色环境发展基金会	535300006708537829	云南省绿色环境发展基金会
347	云南省老龄事业发展基金会	535300005183605377	云南省老龄事业发展基金会
348	云南省董勒成公益发展基金会	535300007972138704	云南省董勒成公益发展基金会
349	云南省见义勇为基金会	535300007816689858	云南省见义勇为基金会
350	云南省视界留学基金会	535300005501282525	云南省视界留学基金会
351	云南省青少年发展基金会	535300005183599667	云南省青少年发展基金会
352	云南省青年创业就业基金会	53530000697975990F	云南省青年创业就业基金会
354	云南聂耳音乐基金会	53530000760439673G	云南聂耳音乐基金会
355	云南蒲公英民族扶贫助学基金会	53530000566214403K	云南蒲公英民族扶贫助学基金会
356	西双版纳州热带雨林保护基金会	535300005577568844	西双版纳州热带雨林保护基金会#云南西双版纳州热带雨林保护基金会
357	云南鸿献助学扶贫基金会	53530000566231350K	云南鸿献助学扶贫基金会
358	云和县人民教育基金会	53330000501883673U	云和县人民教育基金会
359	云霄县下坂扶贫助学基金会	53350000671914516Y	云霄县下坂扶贫助学基金会
360	亨通慈善基金会	53100000717829182E	亨通慈善基金会
361	京台文化交流基金会		京台文化交流基金会
362	人保慈善基金会	53100000500020999Q	人保慈善基金会#中国人保公益慈善基金会
363	亿利公益基金会	53100000717830263U	亿泽公益基金会#亿利公益基金会
364	什邡市教育基金会	535100005727970192	什邡市教育基金会
365	仁寿县景圣景荟爱教育基金会	535100000521677776	仁寿县景圣景荟爱教育基金会
366	广州市从化区教育基金会	534400007629115132	广州市从化区教育基金会#从化市教育基金会
367	从化市见义勇为基金会	534400007629107729	从化市见义勇为基金会
368	仙居县人民教育基金会	53330000765225551A	仙居县人民教育基金会
369	仪征万博慈善基金会	533200005091615609	仪征万博慈善基金会
370	仪征市见义勇为基金会	533200005091602500	仪征市见义勇为基金会
371	仰恩基金会	533500006765366659	仰恩基金会
372	伊金霍洛旗人民教育基金会	53150000695941009U	伊金霍洛旗人民教育基金会
373	伊金霍洛旗圣地英才基金会	53150627057823745T	伊金霍洛旗圣地英才基金会
374	伊金霍洛旗少数民族发展基金会	531506275973263285	伊金霍洛旗少数民族发展基金会
375	伊金霍洛旗扶贫基金会	53150000MJ2227814Y	伊金霍洛旗扶贫基金会
376	伊金霍洛旗民族文化发展基金会	53150627588840691W	伊金霍洛旗民族文化发展基金会
