	ricf_oid	ba_cn	fp_yr	cf_doc	cf_soc	cf_srvc	cf_proc	cf_govc	cf_otca	cf_atci	cf_dopc	cf_stpc	cf_psc	cf_otpc	cf_atco	cf_anc	cf_inc	cf_inrc	cf_assc	cf_oc	cf_itci	cf_aspc	cf_invs	cf_oinc	cf_tinc	cf_intc	cf_leca	cf_tfc	cf_tfic	cf_bopc	cf_inpc	cf_ofc	cf_tfoc	cf_nfl	cf_exch	cf_ninc
1129	4308	上海证券交易所公益基金会	2015	10040250.0	0.0	0.0	0.0	0.0	84174.76	10124424.76	50000.0	0.0	0.0	1008.5	51008.5	10073416.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10000000.0	10000000.0	0.0	0.0	0.0	0.0	10000000.0	0.0	20073416.26
1130	4120	上海至美公益基金会	2015	0.0	0.0	0.0	0.0	0.0	28516.4	28516.4	911532.73	127557.01	0.0	38340.83	1077430.57	-1048914.17	0.0	0.0	0.0	0.0	0.0	12157.0	5000000.0	0.0	5012157.0	-5012157.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-6061071.17
1131	46	上海外国语大学教育发展基金会	2015	4686372.12	0.0	0.0	0.0	0.0	320609.99	5006982.11	2107275.4	0.0	0.0	2290313.07	4397588.47	609393.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	609393.64
1132	127	上海海事大学教育发展基金会	2015	2804730.6	0.0	0.0	0.0	0.0	131740.53	2936471.13	1318700.0	0.0	0.0	40510.61	1359210.61	1577260.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1577260.52
1133	132	上海理工大学教育发展基金会	2015	3953622.88	0.0	0.0	0.0	0.0	149026.47	4102649.35	2210498.86	0.0	0.0	16417.1	2226915.96	1875733.39	28570000.0	500621.78	0.0	0.0	29070621.78	0.0	0.0	28120000.0	28120000.0	950621.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2826355.17
1134	4339	上海觉群文教基金会	2015	21831481.38	0.0	0.0	0.0	0.0	3.33	21831484.71	3563453.02	262128.5	0.0	308479.5	4134061.02	17697423.69	0.0	91882.04	0.0	0.0	91882.04	113458.0	15000000.0	0.0	15113458.0	-15021575.96	0.0	93629.0	93629.0	0.0	0.0	583.65	583.65	93045.35	0.0	2768893.08
1135	123	上海汽车工业科技发展基金会	2015	0.0	0.0	0.0	0.0	0.0	33991.14	33991.14	0.0	0.0	6410000.0	364303.22	6774303.22	-6740312.08	0.0	4040000.0	0.0	0.0	4040000.0	0.0	0.0	0.0	0.0	4040000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2700312.08
1136	36	上海唐君远教育基金会	2015	1945000.0	0.0	0.0	0.0	0.0	413382.88	2358382.88	22234200.0	510025.39	0.0	1229614.79	23973840.18	-21615457.3	175877385.74	29043005.11	0.0	0.0	204920390.85	11150.0	178861974.93	0.0	178873124.93	26047265.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4431808.62
1137	37	上海商学院教育发展基金会	2015	28472.19	0.0	0.0	0.0	0.0	13216.89	41689.08	389900.0	0.0	0.0	3007.0	392907.0	-351217.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-351217.92
1138	68	上海市奉贤区教育基金会	2015	74114.35	0.0	0.0	0.0	0.0	9053.98	83168.33	1669558.14	36000.0	9680.0	0.0	1715238.14	-1632069.81	0.0	430472.37	0.0	0.0	430472.37	0.0	1416383.0	0.0	1416383.0	-985910.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2617980.44
