	ao_ad	ao_adex	ao_adn	ao_ate	ao_cc	ao_dd	ao_ddc	ao_ddi	ao_ddin	ao_ddn	ao_ddnn	ao_lst	ao_nni	ao_nnin	ao_od	ao_odi	ao_odin	ao_odn	ao_odnn	ao_odt	ao_oth	ao_slr	ba_cn	fp_yr	ricf_oid
1166	270380.0	9277.2	0.0		494294.0	270380.0	50380.0	220000.0	0.0	0.0	0.0	6104108.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23066.4	上海市甬协公益基金会	2015	84
1167	32717477.35	2683233.27	0.0		48223309.69	0.0	0.0	32717477.35	0.0	0.0	0.0	65857614.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	839963.64	上海市教育发展基金会	2015	77
1168	5314621.07	52256.86	0.0		4028916.8	5314621.07	0.0	0.0	0.0	0.0	0.0	9181641.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21617.1	207800.0	上海市人口福利基金会	2015	56
1169	2243972.28	37378.9	0.0		2390203.56	1252031.0	0.0	1252031.0	0.0	0.0	0.0	3115199.0	0.0	0.0	991941.28	991941.28	0.0	0.0	0.0	0.0	0.0	0.0	上海市嘉定区教育奖励基金会	2015	66
1170	1484000.0	91058.94	0.0		9191684.4	1484000.0	384000.0	1100000.0	0.0	0.0	0.0	10957371.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	481682.33	上海市中小学幼儿教师奖励基金会	2015	54
1171	0.0	42579.45	0.0		1818794.0	2517804.96	420774.96	2097030.0	0.0	0.0	0.0	15367759.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	上海民建扶帮公益基金会	2015	115
1172	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	上海浦东新区恩派公益基金会	2015	4633
1173	4800.0	0.0	0.0		150000.0	4800.0	4800.0	0.0	0.0	0.0	0.0	1997777.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	327.25	26388.4	上海驭能赛车运动发展基金会	2015	4136
1174	2400000.0	400.5	0.0		0.0	2400000.0	0.0	2400000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	上海宜川路街道社区基金会	2015	4775
1175	5010000.0	6775.96	0.0		4388778.27	3010000.0	0.0	2000000.0	0.0	0.0	0.0	2017383.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105192.23	305800.0	上海阎宝航社会公益基金会	2015	151
1176	5543255.26	9350.0	74431.0		8664391.0	5512574.2	1540624.2	3971950.0	74431.0	74431.0	0.0	30643914.24	0.0	0.0	30681.06	30681.06	0.0	0.0	0.0	0.0	0.0	0.0	上海东华大学教育发展基金会	2015	13
1177	0.0	0.0	0.0		0.0	3700000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	上海真如社区基金会	2015	4705
1178	0.0	7025.4	0.0		229479.1	10366040.0	10366040.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6000.0	0.0	上海市市西中学教育发展基金会	2015	4573
1179	0.0	14836.4	0.0		949050.0	0.0	0.0	0.0	0.0	0.0	0.0	371993.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	118000.0	上海市闸北区教育基金会	2015	92
1180	0.0	31055.1	0.0		2386369.7	2938793.6	0.0	0.0	0.0	2122793.6	0.0	2000000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	292173.33	244900.0	上海王正国创伤医学发展基金会	2015	4137
1181	2316583.91	6764.2	0.0		915623.83	2316583.91	180512.75	2136071.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35030.0	0.0	上海市浦东新区青少年发展基金会	2015	4314
1182	614374717.66	11620282.42	203777698.34		652354374.37	600920190.98	120184038.19	480736152.79	203777698.34	203777698.34	0.0	912686618.36	0.0	0.0	13454526.68	13454526.68	0.0	0.0	0.0	0.0	73150385.0	14079426.54	上海市慈善基金会	2015	75
