Unnamed: 0,ricf_oid,ba_cn,fp_yr,name,cf_doc,cf_soc,cf_srvc,cf_proc,cf_govc,cf_otca,cf_atci,cf_dopc,cf_stpc,cf_psc,cf_otpc,cf_atco,cf_anc,cf_inc,cf_inrc,cf_assc,cf_oc,cf_itci,cf_aspc,cf_invs,cf_oinc,cf_tinc,cf_intc,cf_leca,cf_tfc,cf_tfic,cf_bopc,cf_inpc,cf_ofc,cf_tfoc,cf_nfl,cf_exch,cf_ninc
940,207.0,中国儿童少年基金会,2016,中国儿童少年基金会,"343,863,909.79",0.00,0.00,0.00,0.00,"46,661,302.49","390,525,212.28","243,195,463.26","11,682,762.40",0.00,"47,855,780.54","302,734,006.20","87,791,206.08",0.00,0.00,0.00,0.00,0.00,"5,720.00",0.00,0.00,"5,720.00","-5,720.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"171,220.04","87,956,706.12"
941,3005.0,辽宁省公益基金会,2016,辽宁省公益基金会,"1,421,274.06",0.00,0.00,0.00,0.00,"6,298.39","1,427,572.45","1,294,566.61","89,400.00",0.00,"33,809.40","1,417,776.01","9,796.44",0.00,0.00,"75,609.40",0.00,"75,609.40",0.00,0.00,0.00,0.00,"75,609.40",0.00,"60,000.00","60,000.00",0.00,0.00,"2,642,713.75","2,642,713.75","-2,582,713.75",0.00,"-2,497,307.91"
942,2282.0,浙江省微笑明天慈善基金会,2016,浙江省微笑明天慈善基金会,"7,360,720.03",0.00,0.00,0.00,0.00,"100,151.69","7,460,871.72","5,853,433.37","147,641.00",0.00,"1,189,252.59","7,190,326.96","270,544.76",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"270,544.76"
943,1089.0,天津市滨海社会救助基金会,2016,天津市滨海社会救助基金会,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"163,110.00",0.00,0.00,"17,540.00","180,650.00","-180,650.00",0.00,0.00,0.00,0.00,0.00,0.00,"1,700,000.00",0.00,"1,700,000.00","-1,700,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
944,4368.0,河北省孝行慈善基金会,2016,河北省孝行慈善基金会,"4,985,691.80",0.00,0.00,0.00,0.00,724.51,"4,986,416.31","2,703,149.95","176,402.00",0.00,0.00,"2,879,551.95","2,106,864.36","5,200,000.00","49,029.63",0.00,0.00,"5,249,029.63","88,808.00","5,600,000.00",0.00,"5,688,808.00","-439,778.37",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,667,085.99"
945,3107.0,金华市外国语学校教育发展基金会,2016,金华市外国语学校教育发展基金会,"20,319,510.00",0.00,0.00,0.00,0.00,0.00,"20,319,510.00","16,000,000.00","28,000.00",0.00,"3,000.00","16,031,000.00","4,288,510.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"10,011.95","10,011.95",0.00,0.00,55.00,55.00,"9,956.95",0.00,"4,298,466.95"
946,5565.0,河北省启善公益基金会,2016,河北省启善公益基金会,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,000.00","1,000.00","-1,000.00","2,000,000.00",0.00,0.00,"1,341.67","2,001,341.67",0.00,0.00,0.00,0.00,"2,001,341.67",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,000,341.67"
947,3252.0,青海妇女儿童发展基金会,2016,青海妇女儿童发展基金会,"11,294,730.29",0.00,0.00,0.00,0.00,"97,407.62","11,392,137.91","5,481,755.29","41,230.00",0.00,"29,960.19","5,552,945.48","5,839,192.43",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,839,192.43"
948,294.0,丽水市莲都区人民教育基金会,2016,丽水市莲都区人民教育基金会,"123,000.00",0.00,0.00,0.00,0.00,"193,900.00","316,900.00","1,118,156.00","6,000.00",0.00,"21,020.00","1,145,176.00","-828,276.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,153.86","2,153.86",0.00,0.00,0.00,0.00,"2,153.86",0.00,"-826,122.14"
949,2220.0,浙江大学教育基金会,2016,浙江大学教育基金会,"316,637,193.30",0.00,0.00,0.00,0.00,"927,527.06","317,564,720.36","159,619,218.00","2,074,156.40",0.00,"4,999,889.39","166,693,263.79","150,871,456.57","2,653,325,720.28","81,782,483.70",0.00,0.00,"2,735,108,203.98",0.00,"2,906,956,256.66",0.00,"2,906,956,256.66","-171,848,052.68",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"74,061.69","-20,902,535.02"
