,ao_ad,ao_adex,ao_adn,ao_ate,ao_cc,ao_dd,ao_ddc,ao_ddi,ao_ddin,ao_ddn,ao_ddnn,ao_lst,ao_nni,ao_nnin,ao_od,ao_odi,ao_odin,ao_odn,ao_odnn,ao_odnnn,ao_oth,ao_slr,ba_cn,fp_yr,name,ricf_oid
160,"358,844,601.33","876,383.55",0.00,"70,412,412.29","65,123,274.34","358,844,601.33",0.00,"358,844,601.33",0.00,0.00,0.00,"6,800,000.00",null,null,0.00,0.00,0.00,0.00,0.00,0.00,"1,302,236.80","3,110,517.60",中国互联网发展基金会,2016,中国互联网发展基金会,4475.0
161,400.00,"2,217.09",0.00,"133,550.59","93,266.00",400.00,400.00,0.00,0.00,0.00,0.00,"4,569,102.71",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"20,067.50","18,000.00",甘肃兰海助学基金会,2016,甘肃兰海助学基金会,3680.0
162,"450,000.00","6,947.00",0.00,"426,947.00","420,000.00","450,000.00","450,000.00",0.00,0.00,0.00,0.00,"1,805,787.61",null,null,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,内蒙古霍林郭勒市吾义救助基金会,2016,内蒙古霍林郭勒市吾义救助基金会,462.0
163,0.00,"7,500.00",0.00,"93,157.76",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,255,549.08",null,null,0.00,0.00,0.00,0.00,0.00,0.00,217.00,"85,440.76",河南省民营企业信用发展基金会,2016,河南省民营企业信用发展基金会,2133.0
164,"298,165.00","12,207.10","502,944.00","755,839.92","637,889.34","298,165.00","298,165.00",0.00,0.00,"502,944.00","502,944.00","509,939.45",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"49,743.48","56,000.00",辽宁省国防教育基金会,2016,辽宁省国防教育基金会,3008.0
165,"2,911,206.00","312,407.49","8,800,000.00","11,496,373.69","10,973,536.75","2,911,206.00","13,456.00","2,897,750.00","8,800,000.00","8,800,000.00",0.00,"20,733,335.59",null,null,0.00,0.00,0.00,0.00,0.00,0.00,null,"210,429.45",萨马兰奇体育发展基金会,2016,萨马兰奇体育发展基金会,2924.0
166,"6,555,219.70","3,420.20",0.00,"2,409,220.20","2,399,300.00","6,555,219.70","6,160,219.70","395,000.00",0.00,0.00,0.00,"19,313,919.56",null,null,0.00,0.00,0.00,0.00,0.00,0.00,null,"6,500.00",浙江宏达教育基金会,2016,浙江宏达教育基金会,2223.0
167,0.00,"58,625.62",0.00,"1,549,015.62","1,444,990.00",0.00,0.00,0.00,0.00,0.00,0.00,"1,777,780.71",0.00,null,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"45,400.00",杭州市关心下一代基金会,2016,杭州市关心下一代基金会,1805.0
168,"935,166.00",0.00,0.00,"3,476,626.81","2,432,043.01","935,166.00","235,166.00","700,000.00",0.00,0.00,0.00,"123,827,030.33",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"19,270.99","1,025,312.81",增爱公益基金会,2016,增爱公益基金会,1037.0
169,"200,000.00",234.03,0.00,"203,936.23","179,360.00","200,000.00","200,000.00",0.00,0.00,0.00,0.00,"2,018,792.30",0.00,null,0.00,0.00,0.00,0.00,0.00,0.00,"5,742.20","18,600.00",济源市宝之源慈善基金会,2016,济源市宝之源慈善基金会,2197.0
170,"4,000,000.00","63,768.25",0.00,"119,667.85",0.00,"4,000,000.00","4,000,000.00",0.00,0.00,0.00,0.00,0.00,null,null,0.00,0.00,0.00,0.00,0.00,0.00,699.60,"55,200.00",河南省春申文化发展基金会,2016,河南省春申文化发展基金会,5235.0
171,"72,705,411.25","113,180.11",0.00,"28,697,176.32","28,288,613.36","70,350,698.84","16,167,479.32","54,183,219.52",0.00,0.00,0.00,"110,869,913.76",0.00,0.00,"2,354,712.41","2,087,217.34",0.00,"267,495.07",0.00,0.00,0.00,"295,382.85",天津南开大学教育基金会,2016,天津南开大学教育基金会,1058.0
