	ba_cn	ind_year	ricf_oid	ba_uscc	nm_offi
2943	四川烛光教育国际交流基金会	2015	986	53510000066771473F	四川烛光教育国际交流基金会
2944	四川电子科技大学教育发展基金会	2013	987	53510000689938719G	四川电子科技大学教育发展基金会
2945	四川电子科技大学教育发展基金会	2014	987	53510000689938719G	四川电子科技大学教育发展基金会
2946	四川电子科技大学教育发展基金会	2015	987	53510000689938719G	四川电子科技大学教育发展基金会
2947	四川省体育基金会	2013	988	53510000504056593R	四川省体育基金会
2948	四川省体育基金会	2014	988	53510000504056593R	四川省体育基金会
2949	四川省体育基金会	2015	988	53510000504056593R	四川省体育基金会
2950	四川省儿童少年基金会	2013	989		
2951	四川省儿童少年基金会	2014	989		
2952	四川省儿童少年基金会	2015	989		
2953	四川省光华教育发展基金会	2013	990	53510000504061341N	四川省光华教育发展基金会
2954	四川省光华教育发展基金会	2014	990	53510000504061341N	四川省光华教育发展基金会
2955	四川省光华教育发展基金会	2015	990	53510000504061341N	四川省光华教育发展基金会
2956	四川省关心下一代基金会	2013	991	53510000555774157Y	四川省关心下一代基金会
2957	四川省关心下一代基金会	2014	991	53510000555774157Y	四川省关心下一代基金会
2958	四川省关心下一代基金会	2015	991	53510000555774157Y	四川省关心下一代基金会
2959	四川省内江市东兴区教育基金会	2013	992	53510000678385135D	四川省内江市东兴区教育基金会
2960	四川省内江市东兴区教育基金会	2014	992	53510000678385135D	四川省内江市东兴区教育基金会
2961	四川省内江市东兴区教育基金会	2015	992	53510000678385135D	四川省内江市东兴区教育基金会
2962	四川省内江市教育基金会	2013	993	53510000504597859C	四川省内江市教育基金会
2963	四川省内江市教育基金会	2014	993	53510000504597859C	四川省内江市教育基金会
2964	四川省内江市教育基金会	2015	993	53510000504597859C	四川省内江市教育基金会
2965	四川省发展职工体育基金会	2013	994		
2966	四川省发展职工体育基金会	2014	994		
2967	四川省发展职工体育基金会	2015	994		
2968	四川省国电大渡河爱心帮扶基金会	2013	995	53510000793967288G	四川省国电大渡河爱心帮扶基金会
2969	四川省国电大渡河爱心帮扶基金会	2014	995	53510000793967288G	四川省国电大渡河爱心帮扶基金会
2970	四川省国电大渡河爱心帮扶基金会	2015	995	53510000793967288G	四川省国电大渡河爱心帮扶基金会
2971	四川省城乡统筹发展基金会	2013	996	53510000599967700A	四川省城乡统筹发展基金会
2972	四川省城乡统筹发展基金会	2014	996	53510000599967700A	四川省城乡统筹发展基金会
2973	四川省城乡统筹发展基金会	2015	996	53510000599967700A	四川省城乡统筹发展基金会
2974	四川省大熊猫保护基金会	2013	997	53510000058202908J	四川省大熊猫保护基金会
2975	四川省大熊猫保护基金会	2014	997	53510000058202908J	四川省大熊猫保护基金会
2976	四川省大熊猫保护基金会	2015	997	53510000058202908J	四川省大熊猫保护基金会
2977	四川省妇女发展基金会	2013	998		
2978	四川省妇女发展基金会	2014	998		
2979	四川省妇女发展基金会	2015	998		
2980	四川省威远县教育基金会	2013	999	53510000759731706K	四川省威远县教育基金会
2981	四川省威远县教育基金会	2014	999	53510000759731706K	四川省威远县教育基金会
2982	四川省威远县教育基金会	2015	999	53510000759731706K	四川省威远县教育基金会
2983	四川省宜宾市教育基金会	2013	1000	535100006602500053	四川省宜宾市教育基金会
2984	四川省宜宾市教育基金会	2014	1000	535100006602500053	四川省宜宾市教育基金会
2985	四川省宜宾市教育基金会	2015	1000	535100006602500053	四川省宜宾市教育基金会
2986	四川省巴蜀文艺发展基金会	2013	1001	53510000558214120D	四川省巴蜀文艺发展基金会
2987	四川省巴蜀文艺发展基金会	2014	1001	53510000558214120D	四川省巴蜀文艺发展基金会
2988	四川省巴蜀文艺发展基金会	2015	1001	53510000558214120D	四川省巴蜀文艺发展基金会
2989	四川省广安市教育基金会	2013	1002	5351000077297338XP	四川省广安市教育基金会
2990	四川省广安市教育基金会	2014	1002	5351000077297338XP	四川省广安市教育基金会
2991	四川省广安市教育基金会	2015	1002	5351000077297338XP	四川省广安市教育基金会
2992	四川省志愿服务基金会	2013	1003	53510000696992019B	四川省志愿服务基金会
2993	四川省志愿服务基金会	2014	1003	53510000696992019B	四川省志愿服务基金会
2994	四川省志愿服务基金会	2015	1003	53510000696992019B	四川省志愿服务基金会
2995	四川省扶贫基金会	2013	1004	53510000504059081U	四川省扶贫基金会
2996	四川省扶贫基金会	2014	1004	53510000504059081U	四川省扶贫基金会
2997	四川省扶贫基金会	2015	1004	53510000504059081U	四川省扶贫基金会
2998	四川省教育基金会	2013	1005	53510000504053456K	四川省教育基金会
2999	四川省教育基金会	2014	1005	53510000504053456K	四川省教育基金会
3000	四川省教育基金会	2015	1005	53510000504053456K	四川省教育基金会
3001	四川省文化艺术发展基金会	2013	1006	53510000689937134R	四川省文化艺术发展基金会
3002	四川省文化艺术发展基金会	2014	1006	53510000689937134R	四川省文化艺术发展基金会
3003	四川省文化艺术发展基金会	2015	1006	53510000689937134R	四川省文化艺术发展基金会
3004	四川省新农村建设开发基金会	2013	1007	53510000678351824W	四川省新农村建设开发基金会
3005	四川省新农村建设开发基金会	2014	1007	53510000678351824W	四川省新农村建设开发基金会
3006	四川省新农村建设开发基金会	2015	1007	53510000678351824W	四川省新农村建设开发基金会
3007	四川省残疾人福利基金会	2013	1008	53510000522807442Q	四川省残疾人福利基金会
3008	四川省残疾人福利基金会	2014	1008	53510000522807442Q	四川省残疾人福利基金会
3009	四川省残疾人福利基金会	2015	1008	53510000522807442Q	四川省残疾人福利基金会
3010	四川省汶川地震灾区重建基金会	2013	1009	53510000555760097Q	四川省汶川地震灾区重建基金会
3011	四川省汶川地震灾区重建基金会	2014	1009	53510000555760097Q	四川省汶川地震灾区重建基金会
3012	四川省汶川地震灾区重建基金会	2015	1009	53510000555760097Q	四川省汶川地震灾区重建基金会
3013	四川省治理荒漠化基金会	2013	1010	53510000054142389F	四川省治理荒漠化基金会
3014	四川省治理荒漠化基金会	2014	1010	53510000054142389F	四川省治理荒漠化基金会
3015	四川省治理荒漠化基金会	2015	1010	53510000054142389F	四川省治理荒漠化基金会
3016	四川省洪雅县育才教育基金会	2013	1011	53510000062364061C	四川省洪雅县育才教育基金会
3017	四川省洪雅县育才教育基金会	2014	1011	53510000062364061C	四川省洪雅县育才教育基金会
3018	四川省洪雅县育才教育基金会	2015	1011	53510000062364061C	四川省洪雅县育才教育基金会
3019	四川省盐亭县教育基金会	2013	1012	53510000504496652H	四川省盐亭县教育基金会
3020	四川省盐亭县教育基金会	2014	1012	53510000504496652H	四川省盐亭县教育基金会
3021	四川省盐亭县教育基金会	2015	1012	53510000504496652H	四川省盐亭县教育基金会
3022	四川省社会科学学术基金会	2013	1013	5351000052280791XM	四川省社会科学学术基金会
3023	四川省社会科学学术基金会	2014	1013	5351000052280791XM	四川省社会科学学术基金会
3024	四川省社会科学学术基金会	2015	1013	5351000052280791XM	四川省社会科学学术基金会
3025	四川省科技扶贫基金会	2013	1014	53510000555792435Q	四川省科技扶贫基金会
3026	四川省科技扶贫基金会	2014	1014	53510000555792435Q	四川省科技扶贫基金会
3027	四川省科技扶贫基金会	2015	1014	53510000555792435Q	四川省科技扶贫基金会
3028	四川省简阳市教育基金会	2013	1015	53510000504639254D	四川省简阳市教育基金会
3029	四川省简阳市教育基金会	2014	1015	53510000504639254D	四川省简阳市教育基金会
3030	四川省简阳市教育基金会	2015	1015	53510000504639254D	四川省简阳市教育基金会
3031	四川省红十字基金会	2013	1016	53510000565687030E	四川省红十字基金会
3032	四川省红十字基金会	2014	1016	53510000565687030E	四川省红十字基金会
3033	四川省红十字基金会	2015	1016	53510000565687030E	四川省红十字基金会
3034	四川省见义勇为基金会	2013	1017	5351000066027586XL	四川省见义勇为基金会
3035	四川省见义勇为基金会	2014	1017	5351000066027586XL	四川省见义勇为基金会
3036	四川省见义勇为基金会	2015	1017	5351000066027586XL	四川省见义勇为基金会
3037	四川省贫困地区人才培育研究基金会	2013	1018	535100005632979440	四川省贫困地区人才培育研究基金会
3038	四川省贫困地区人才培育研究基金会	2014	1018	535100005632979440	四川省贫困地区人才培育研究基金会
3039	四川省贫困地区人才培育研究基金会	2015	1018	535100005632979440	四川省贫困地区人才培育研究基金会
3040	四川省资中教育基金会	2013	1019	53510000789100753P	四川省资中教育基金会
3041	四川省资中教育基金会	2014	1019	53510000789100753P	四川省资中教育基金会
3042	四川省资中教育基金会	2015	1019	53510000789100753P	四川省资中教育基金会
3043	四川省隆昌教育基金会	2013	1020	535100007597316778	四川省隆昌教育基金会
3044	四川省隆昌教育基金会	2014	1020	535100007597316778	四川省隆昌教育基金会
3045	四川省隆昌教育基金会	2015	1020	535100007597316778	四川省隆昌教育基金会
3046	四川省青年创业就业基金会	2013	1021	535100006969787782	四川省青年创业就业基金会
3047	四川省青年创业就业基金会	2014	1021	535100006969787782	四川省青年创业就业基金会
3048	四川省青年创业就业基金会	2015	1021	535100006969787782	四川省青年创业就业基金会
3049	四川省青年科技基金会	2013	1022	535100005040548033	四川省青年科技基金会
3050	四川省青年科技基金会	2014	1022	535100005040548033	四川省青年科技基金会
3051	四川省青年科技基金会	2015	1022	535100005040548033	四川省青年科技基金会
3052	四川美丰教育基金会	2013	1023	5351000076729258X6	四川美丰教育基金会
3053	四川美丰教育基金会	2014	1023	5351000076729258X6	四川美丰教育基金会
3054	四川美丰教育基金会	2015	1023	5351000076729258X6	四川美丰教育基金会
3055	四川自贡市教育基金会	2013	1024	53510000789125635R	四川自贡市教育基金会
3056	四川自贡市教育基金会	2014	1024	53510000789125635R	四川自贡市教育基金会
3057	四川自贡市教育基金会	2015	1024	53510000789125635R	四川自贡市教育基金会
3058	四川英子爱心基金会	2013	1025	535100006948182876	四川英子爱心基金会
3059	四川英子爱心基金会	2014	1025	535100006948182876	四川英子爱心基金会
3060	四川英子爱心基金会	2015	1025	535100006948182876	四川英子爱心基金会
3061	四川行健慈善基金会	2013	1026	5351000078665833XA	四川行健慈善基金会
3062	四川行健慈善基金会	2014	1026	5351000078665833XA	四川行健慈善基金会
3063	四川行健慈善基金会	2015	1026	5351000078665833XA	四川行健慈善基金会
3064	四川西华师范大学教育发展基金会	2013	1027	535100005999636031	四川西华师范大学教育发展基金会
3065	四川西华师范大学教育发展基金会	2014	1027	535100005999636031	四川西华师范大学教育发展基金会
3066	四川西华师范大学教育发展基金会	2015	1027	535100005999636031	四川西华师范大学教育发展基金会
3067	四川西南交通大学扬华教育基金会	2013	1028		
3068	四川西南交通大学教育基金会	2014	1028	5351000076995441X7	四川西南交通大学教育基金会
3069	四川西南交通大学教育基金会	2015	1028	5351000076995441X7	四川西南交通大学教育基金会
3070	四川西南石油大学教育发展基金会	2013	1029	53510000660275851W	四川西南石油大学教育发展基金会
3071	四川西南石油大学教育发展基金会	2014	1029	53510000660275851W	四川西南石油大学教育发展基金会
3072	四川西南石油大学教育发展基金会	2015	1029	53510000660275851W	四川西南石油大学教育发展基金会
3073	四川西南科技大学教育发展基金会	2013	1030	535100000667768802	四川西南科技大学教育发展基金会
3074	四川西南科技大学教育发展基金会	2014	1030	535100000667768802	四川西南科技大学教育发展基金会
3075	四川西南科技大学教育发展基金会	2015	1030	535100000667768802	四川西南科技大学教育发展基金会
3076	四川西部自然保护基金会	2013	1031		
3077	四川桃花源生态保护基金会	2014	1031	535100005821602574	四川桃花源生态保护基金会
3078	四川桃花源生态保护基金会	2015	1031	535100005821602574	四川桃花源生态保护基金会
3079	四川资阳五月阳光教育基金会	2013	1032	53510000579617498Q	四川资阳五月阳光教育基金会
3080	四川资阳五月阳光教育基金会	2014	1032	53510000579617498Q	四川资阳五月阳光教育基金会
3081	四川资阳五月阳光教育基金会	2015	1032	53510000579617498Q	四川资阳五月阳光教育基金会
3082	四川音乐学院艺术教育基金会	2013	1033	53510000765053331M	四川音乐学院艺术教育基金会
3083	四川音乐学院艺术教育基金会	2014	1033	53510000765053331M	四川音乐学院艺术教育基金会
3084	四川音乐学院艺术教育基金会	2015	1033	53510000765053331M	四川音乐学院艺术教育基金会
3085	四川飞行教育基金会	2013	1034	53510000682381727L	四川飞行教育基金会
3086	四川飞行教育基金会	2014	1034	53510000682381727L	四川飞行教育基金会
3087	四川飞行教育基金会	2015	1034	53510000682381727L	四川飞行教育基金会
3088	四平市公安民警优抚基金会	2013	1035	53220000068619678F	四平市公安民警优抚基金会
3089	四平市公安民警优抚基金会	2014	1035	53220000068619678F	四平市公安民警优抚基金会
3090	四平市公安民警优抚基金会	2015	1035	53220000068619678F	四平市公安民警优抚基金会
3091	国家电网公益基金会	2013	1036	531000005000213348	国家电网公益基金会
3092	国家电网公益基金会	2014	1036	531000005000213348	国家电网公益基金会
3093	国家电网公益基金会	2015	1036	531000005000213348	国家电网公益基金会
3094	增爱公益基金会	2013	1037	5310000071783378XG	增爱公益基金会
3095	增爱公益基金会	2014	1037	5310000071783378XG	增爱公益基金会
3096	增爱公益基金会	2015	1037	5310000071783378XG	增爱公益基金会
3097	复旦管理学奖励基金会	2013	1038	53310000501779710T	复旦管理学奖励基金会
3098	复旦管理学奖励基金会	2014	1038	53310000501779710T	复旦管理学奖励基金会
3099	复旦管理学奖励基金会	2015	1038	53310000501779710T	复旦管理学奖励基金会
3100	大丰市慈善基金会	2013	1039		
3101	大丰市慈善基金会	2014	1039		
3102	大丰市慈善基金会	2015	1039		
3103	大丰市见义勇为基金会	2013	1040		
3104	大丰市见义勇为基金会	2014	1040		
3105	大丰市见义勇为基金会	2015	1040		
3106	大庆市公安民警救助基金会	2013	1041	53230000588135167M	大庆市公安民警救助基金会
3107	大庆市公安民警救助基金会	2014	1041	53230000588135167M	大庆市公安民警救助基金会
3108	大庆市公安民警救助基金会	2015	1041	53230000588135167M	大庆市公安民警救助基金会
3109	大庆市残疾人福利基金会	2013	1042	53230000569860128U	大庆市残疾人福利基金会
3110	大庆市残疾人福利基金会	2014	1042	53230000569860128U	大庆市残疾人福利基金会
3111	大庆市残疾人福利基金会	2015	1042	53230000569860128U	大庆市残疾人福利基金会
3112	大庆市老年福利基金会	2013	1043	532300005053980852	大庆市老年福利基金会
3113	大庆市老年福利基金会	2014	1043	532300005053980852	大庆市老年福利基金会
3114	大庆市老年福利基金会	2015	1043	532300005053980852	大庆市老年福利基金会
3115	大理白族自治州见义勇为基金会	2013	1044	53530000757198872H	大理白族自治州见义勇为基金会
3116	大理白族自治州见义勇为基金会	2014	1044	53530000757198872H	大理白族自治州见义勇为基金会
3117	大理白族自治州见义勇为基金会	2015	1044	53530000757198872H	大理白族自治州见义勇为基金会
3118	大连市公安民警救助基金会	2013	1045	53210000055655936F	大连市公安民警救助基金会
3119	大连市公安民警救助基金会	2014	1045	53210000055655936F	大连市公安民警救助基金会
3120	大连市公安民警救助基金会	2015	1045	53210000055655936F	大连市公安民警救助基金会
3121	大连市妇女儿童发展基金会	2013	1046	53210000584151805J	大连市妇女儿童发展基金会
3122	大连市妇女儿童发展基金会	2014	1046	53210000584151805J	大连市妇女儿童发展基金会
3123	大连市妇女儿童发展基金会	2015	1046	53210000584151805J	大连市妇女儿童发展基金会
3124	大连市教育基金会	2013	1047	53210000673761824U	大连市教育基金会
3125	大连市教育基金会	2014	1047	53210000673761824U	大连市教育基金会
3126	大连市教育基金会	2015	1047	53210000673761824U	大连市教育基金会
3127	大连市残疾人福利基金会	2013	1048	532100005082581928	大连市残疾人福利基金会
3128	大连市残疾人福利基金会	2014	1048	532100005082581928	大连市残疾人福利基金会
3129	大连市残疾人福利基金会	2015	1048	532100005082581928	大连市残疾人福利基金会
3130	大连市永嘉防震减灾慈善基金会	2013	1049	53210000567562717U	大连市永嘉防震减灾慈善基金会
3131	大连市永嘉防震减灾慈善基金会	2014	1049	53210000567562717U	大连市永嘉防震减灾慈善基金会
3132	大连市永嘉防震减灾慈善基金会	2015	1049	53210000567562717U	大连市永嘉防震减灾慈善基金会
3133	大连市洁华艺术人才基金会	2013	1050	532100007683174271	大连市洁华艺术人才基金会
3134	大连市洁华艺术人才基金会	2014	1050	532100007683174271	大连市洁华艺术人才基金会
3135	大连市洁华艺术人才基金会	2015	1050	532100007683174271	大连市洁华艺术人才基金会
3136	大连市职工慈善基金会	2013	1051	53210000594837958N	大连市职工慈善基金会
3137	大连市职工慈善基金会	2014	1051	53210000594837958N	大连市职工慈善基金会
3138	大连市职工慈善基金会	2015	1051	53210000594837958N	大连市职工慈善基金会
3139	大连市见义勇为基金会	2013	1052	53210000508258272U	大连市见义勇为基金会
3140	大连市见义勇为基金会	2014	1052	53210000508258272U	大连市见义勇为基金会
3141	大连市见义勇为基金会	2015	1052	53210000508258272U	大连市见义勇为基金会
3142	大连市青少年发展基金会	2013	1053	532100007816068644	大连市青少年发展基金会
3143	大连市青少年发展基金会	2014	1053	532100007816068644	大连市青少年发展基金会
3144	大连市青少年发展基金会	2015	1053	532100007816068644	大连市青少年发展基金会
3145	大连慈善基金会	2013	1054	532100007915952653	大连慈善基金会
3146	大连慈善基金会	2014	1054	532100007915952653	大连慈善基金会
3147	大连慈善基金会	2015	1054	532100007915952653	大连慈善基金会
3148	天台县教育基金会	2013	1055	53330000766415576F	天台县教育基金会
3149	天台县教育基金会	2014	1055	53330000766415576F	天台县教育基金会
3150	天台县教育基金会	2015	1055	53330000766415576F	天台县教育基金会
3151	天合公益基金会	2013	1056	531000007178326051	天合公益基金会
3152	天合公益基金会	2014	1056	531000007178326051	天合公益基金会
3153	天合公益基金会	2015	1056	531000007178326051	天合公益基金会
3154	天津中国民航大学教育发展基金会	2013	1057	531200007893898173	天津中国民航大学教育发展基金会
3155	天津中国民航大学教育发展基金会	2014	1057	531200007893898173	天津中国民航大学教育发展基金会
3156	天津中国民航大学教育发展基金会	2015	1057	531200007893898173	天津中国民航大学教育发展基金会
3157	天津南开大学教育基金会	2013	1058	531200007612911562	天津南开大学教育基金会
3158	天津南开大学教育基金会	2014	1058	531200007612911562	天津南开大学教育基金会
3159	天津南开大学教育基金会	2015	1058	531200007612911562	天津南开大学教育基金会
3160	天津城建大学教育发展基金会	2013	1059	5312000008655920X0	天津城建大学教育发展基金会
3161	天津城建大学教育发展基金会	2014	1059	5312000008655920X0	天津城建大学教育发展基金会
3162	天津城建大学教育发展基金会	2015	1059	5312000008655920X0	天津城建大学教育发展基金会
3163	天津外国语大学教育发展基金会	2013	1060	5312000078031822X1	天津外国语大学教育发展基金会
3164	天津外国语大学教育发展基金会	2014	1060	5312000078031822X1	天津外国语大学教育发展基金会
3165	天津外国语大学教育发展基金会	2015	1060	5312000078031822X1	天津外国语大学教育发展基金会
3166	天津大学北洋教育发展基金会	2013	1061	531200005009217706	天津大学北洋教育发展基金会
3167	天津大学北洋教育发展基金会	2014	1061	531200005009217706	天津大学北洋教育发展基金会
3168	天津大学北洋教育发展基金会	2015	1061	531200005009217706	天津大学北洋教育发展基金会
3169	天津宝坻桑梓助学基金会	2013	1062	5312000076762541XC	天津宝坻桑梓助学基金会
3170	天津宝坻桑梓助学基金会	2014	1062	5312000076762541XC	天津宝坻桑梓助学基金会
3171	天津宝坻桑梓助学基金会	2015	1062	5312000076762541XC	天津宝坻桑梓助学基金会
3172	天津市人口福利基金会	2013	1063	531200007129372210	天津市人口福利基金会
3173	天津市人口福利基金会	2014	1063	531200007129372210	天津市人口福利基金会
3174	天津市人口福利基金会	2015	1063	531200007129372210	天津市人口福利基金会
3175	天津市体育发展基金会	2013	1064	53120000589783027Y	天津市体育发展基金会
3176	天津市体育发展基金会	2014	1064	53120000589783027Y	天津市体育发展基金会
3177	天津市体育发展基金会	2015	1064	53120000589783027Y	天津市体育发展基金会
3178	天津市佛教慈善功德基金会	2013	1065	53120000770610710E	天津市佛教慈善功德基金会
3179	天津市佛教慈善功德基金会	2014	1065	53120000770610710E	天津市佛教慈善功德基金会
3180	天津市佛教慈善功德基金会	2015	1065	53120000770610710E	天津市佛教慈善功德基金会
3181	天津市冬朋助学基金会	2013	1066	53120000668804551Q	天津市冬朋助学基金会
3182	天津市冬朋助学基金会	2014	1066	53120000668804551Q	天津市冬朋助学基金会
3183	天津市冬朋助学基金会	2015	1066	53120000668804551Q	天津市冬朋助学基金会
3184	天津市冯骥才民间文化基金会	2013	1067	53120000767649454F	天津市冯骥才民间文化基金会
3185	天津市冯骥才民间文化基金会	2014	1067	53120000767649454F	天津市冯骥才民间文化基金会
3186	天津市冯骥才民间文化基金会	2015	1067	53120000767649454F	天津市冯骥才民间文化基金会
3187	天津市华夏器官移植救助基金会	2013	1068	5312000066881918XP	天津市华夏器官移植救助基金会
3188	天津市华夏器官移植救助基金会	2014	1068	5312000066881918XP	天津市华夏器官移植救助基金会
3189	天津市华夏器官移植救助基金会	2015	1068	5312000066881918XP	天津市华夏器官移植救助基金会
3190	天津市华夏未来文化艺术基金会	2013	1069	53120000500921762B	天津市华夏未来文化艺术基金会
3191	天津市华夏未来文化艺术基金会	2014	1069	53120000500921762B	天津市华夏未来文化艺术基金会
3192	天津市华夏未来文化艺术基金会	2015	1069	53120000500921762B	天津市华夏未来文化艺术基金会
3193	天津市南开中学教育基金会	2013	1070	53120000559463284R	天津市南开中学教育基金会
3194	天津市南开中学教育基金会	2014	1070	53120000559463284R	天津市南开中学教育基金会
3195	天津市南开中学教育基金会	2015	1070	53120000559463284R	天津市南开中学教育基金会
3196	天津市南开菁英教育基金会	2013	1071	531200005864080291	天津市南开菁英教育基金会
3197	天津市南开菁英教育基金会	2014	1071	531200005864080291	天津市南开菁英教育基金会
3198	天津市南开菁英教育基金会	2015	1071	531200005864080291	天津市南开菁英教育基金会
3199	天津市国家安全基金会	2013	1072	53120000500923098P	天津市国家安全基金会
3200	天津市国家安全基金会	2014	1072	53120000500923098P	天津市国家安全基金会
3201	天津市国家安全基金会	2015	1072	53120000500923098P	天津市国家安全基金会
3202	天津市妇女儿童发展基金会	2013	1073	531200005009206391	天津市妇女儿童发展基金会
3203	天津市妇女儿童发展基金会	2014	1073	531200005009206391	天津市妇女儿童发展基金会
3204	天津市妇女儿童发展基金会	2015	1073	531200005009206391	天津市妇女儿童发展基金会
3205	天津市妈祖慈善基金会	2013	1074		
3206	天津市力高慈善基金会	2014	1074	53120000055253187Y	天津市力高慈善基金会
3207	天津市力高慈善基金会	2015	1074	53120000055253187Y	天津市力高慈善基金会
3208	天津市孙洪森助学基金会	2013	1075	53120000052067223Y	天津市孙洪森助学基金会
3209	天津市孙洪森助学基金会	2014	1075	53120000052067223Y	天津市孙洪森助学基金会
3210	天津市孙洪森助学基金会	2015	1075	53120000052067223Y	天津市孙洪森助学基金会
3211	天津市宁鸿涛助学基金会	2013	1076	531200006661122285	天津市宁鸿涛助学基金会
3212	天津市宁鸿涛助学基金会	2014	1076	531200006661122285	天津市宁鸿涛助学基金会
3213	天津市宁鸿涛助学基金会	2015	1076	531200006661122285	天津市宁鸿涛助学基金会
3214	天津市宏志教育基金会	2013	1077	53120000666132990T	天津市宏志教育基金会
3215	天津市宏志教育基金会	2014	1077	53120000666132990T	天津市宏志教育基金会
3216	天津市宏志教育基金会	2015	1077	53120000666132990T	天津市宏志教育基金会
3217	天津市张君秋艺术基金会	2013	1078	53120000712845765K	天津市张君秋艺术基金会
3218	天津市张君秋艺术基金会	2014	1078	53120000712845765K	天津市张君秋艺术基金会
3219	天津市张君秋艺术基金会	2015	1078	53120000712845765K	天津市张君秋艺术基金会
3220	天津市振兴京剧基金会	2013	1079	53120000500921818E	天津市振兴京剧基金会
3221	天津市振兴京剧基金会	2014	1079	53120000500921818E	天津市振兴京剧基金会
3222	天津市振兴京剧基金会	2015	1079	53120000500921818E	天津市振兴京剧基金会
3223	天津市振兴文化艺术基金会	2013	1080	53120000055266180N	天津市振兴文化艺术基金会
3224	天津市振兴文化艺术基金会	2014	1080	53120000055266180N	天津市振兴文化艺术基金会
3225	天津市振兴文化艺术基金会	2015	1080	53120000055266180N	天津市振兴文化艺术基金会
3226	天津市支持教育事业公益基金会	2013	1081	531200005534379666	天津市支持教育事业公益基金会
3227	天津市支持教育事业公益基金会	2014	1081	531200005534379666	天津市支持教育事业公益基金会
3228	天津市支持教育事业公益基金会	2015	1081	531200005534379666	天津市支持教育事业公益基金会
3229	天津市教育发展基金会	2013	1082	53120000700579498W	天津市教育发展基金会
3230	天津市教育发展基金会	2014	1082	53120000700579498W	天津市教育发展基金会
3231	天津市教育发展基金会	2015	1082	53120000700579498W	天津市教育发展基金会
3232	天津市旅港同乡教育基金会	2013	1083	5312000050092180XE	天津市旅港同乡教育基金会
3233	天津市旅港同乡教育基金会	2014	1083	5312000050092180XE	天津市旅港同乡教育基金会
3234	天津市旅港同乡教育基金会	2015	1083	5312000050092180XE	天津市旅港同乡教育基金会
3235	天津市景华公益基金会	2013	1084	53120000556511631W	天津市景华公益基金会
3236	天津市景华公益基金会	2014	1084	53120000556511631W	天津市景华公益基金会
3237	天津市景华公益基金会	2015	1084	53120000556511631W	天津市景华公益基金会
3238	天津市杨兆兰慈善基金会	2013	1085	53120000586448805Y	天津市杨兆兰慈善基金会
3239	天津市杨兆兰慈善基金会	2014	1085	53120000586448805Y	天津市杨兆兰慈善基金会
3240	天津市杨兆兰慈善基金会	2015	1085	53120000586448805Y	天津市杨兆兰慈善基金会
3241	天津市残疾人福利基金会	2013	1086	53120000500920954L	天津市残疾人福利基金会
3242	天津市残疾人福利基金会	2014	1086	53120000500920954L	天津市残疾人福利基金会
3243	天津市残疾人福利基金会	2015	1086	53120000500920954L	天津市残疾人福利基金会
3244	天津市民营科技企业发展基金会	2013	1087	531200005009555839	天津市民营科技企业发展基金会
3245	天津市民营科技企业发展基金会	2014	1087	531200005009555839	天津市民营科技企业发展基金会
3246	天津市民营科技企业发展基金会	2015	1087	531200005009555839	天津市民营科技企业发展基金会
3247	天津市海河文化发展基金会	2013	1088	5312000069068236X4	天津市海河文化发展基金会
3248	天津市海河文化发展基金会	2014	1088	5312000069068236X4	天津市海河文化发展基金会
3249	天津市海河文化发展基金会	2015	1088	5312000069068236X4	天津市海河文化发展基金会
3250	天津市滨海社会救助基金会	2013	1089	53120000675970443K	天津市滨海社会救助基金会
3251	天津市滨海社会救助基金会	2014	1089	53120000675970443K	天津市滨海社会救助基金会
3252	天津市滨海社会救助基金会	2015	1089	53120000675970443K	天津市滨海社会救助基金会
3253	天津市王克昌奖学基金会	2013	1090	531200007491077238	天津市王克昌奖学基金会
3254	天津市王克昌奖学基金会	2014	1090	531200007491077238	天津市王克昌奖学基金会
3255	天津市王克昌奖学基金会	2015	1090	531200007491077238	天津市王克昌奖学基金会
3256	天津市社会救助基金会	2013	1091	531200005594679714	天津市社会救助基金会
3257	天津市社会救助基金会	2014	1091	531200005594679714	天津市社会救助基金会
3258	天津市社会救助基金会	2015	1091	531200005594679714	天津市社会救助基金会
3259	天津市福老基金会	2013	1092	53120000684711822L	天津市福老基金会
3260	天津市福老基金会	2014	1092	53120000684711822L	天津市福老基金会
3261	天津市福老基金会	2015	1092	53120000684711822L	天津市福老基金会
3262	天津市第二中学教育发展基金会	2013	1093	531200006714787260	天津市第二中学教育发展基金会
3263	天津市第二中学教育发展基金会	2014	1093	531200006714787260	天津市第二中学教育发展基金会
3264	天津市第二中学教育发展基金会	2015	1093	531200006714787260	天津市第二中学教育发展基金会
3265	天津市红十字基金会	2013	1094		
3266	天津市红十字基金会	2014	1094		
3267	天津市红十字基金会	2015	1094		
3268	天津市网球发展基金会	2013	1095	53120000718259484U	天津市网球发展基金会
3269	天津市网球发展基金会	2014	1095	53120000718259484U	天津市网球发展基金会
3270	天津市网球发展基金会	2015	1095	53120000718259484U	天津市网球发展基金会
3271	天津市翔宇教育基金会	2013	1096	531200005929461062	天津市翔宇教育基金会
3272	天津市翔宇教育基金会	2014	1096	531200005929461062	天津市翔宇教育基金会
3273	天津市翔宇教育基金会	2015	1096	531200005929461062	天津市翔宇教育基金会
