机构ID	机构名称	报表时间	捐赠收入_限定	会费收入_限定	提供服务收入_限定	政府购买服务收入_限定	商品销售收入_限定	政府补助收入_限定	投资收益_限定	其他收入_限定	收入合计_限定	业务活动成本_限定	管理费用_限定	筹资费用_限定	其他费用_限定	费用合计_限定	限定性净资产转为非限定性净资产_限定	调整净资产_限定	净资产变动额（若为净资产减少额，以“-”号填列）_限定	捐赠收入_非限定	会费收入_非限定	提供服务收入_非限定	政府购买服务收入_非限定	商品销售收入_非限定	政府补助收入_非限定	投资收益_非限定	其他收入_非限定	收入合计_非限定	业务活动成本_非限定	管理费用_非限定	筹资费用_非限定	其他费用_非限定	费用合计_非限定	限定性净资产转为非限定性净资产_非限定	调整净资产_非限定	净资产变动额（若为净资产减少额，以“-”号填列）_非限定
ricf_oid	ba_cn	fp_dt	fa_dine	fa_asine	fa_sine	fa_gse	fa_pine	fa_gine	fa_inine	fa_otine	fa_intoe	fa_accoe	fa_adexe	fa_fuexe	fa_otexe	fa_cotoe	fa_etoue	fa_chase	fa_neche	fa_dinu	fa_asinu	fa_sinu	fa_gsu	fa_pinu	fa_ginu	fa_ininu	fa_otinu	fa_intou	fa_accou	fa_adexu	fa_fuexu	fa_otexu	fa_cotou	fa_etouu	fa_chasu	fa_nechu
58	上海市促进科技成果转化基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	70000.00 	0	0		0	0	3587441.86 	7982.78 	3665424.64 	3366258.2	217494.06 	0.00 	2918.10 	3586670.36 	0.00 		78754.28 
59	上海市儿童健康基金会	2013	10469165.95 	0	0		0	0	0	2199.03	10471364.98 	0.00 	0	0	0	0.00 	5384308.02 		5087056.96	589148.50 	0	0		0	0	0.00 	494508.26 	1083656.76 	6086481.43	586266.53 	344.10 	0.00 	6673092.06 	-5384308.02 		-205127.28 
60	上海市儿童基金会	2013	4519139.90 	0	0		0	0	0	0	4519139.90 	3198944.00 	0	0	0	3198944.00 	0.00 		1320195.9	0.00 	0	0		0	0	130015.06 	859107.19 	989122.25 	0	260853.06 	0.00 	0.00 	260853.06 	0.00 		728269.19 
61	上海市医药卫生发展基金会	2013	14790803.37 	0	0		0	0	0	0	14790803.37 	0.00 	0	0	0	0.00 	6866111.18 		7924692.19	9980000.00 	0	0		0	3800000	886743.20 	19058.58 	14685801.78 	7379289.18	539299.01 	2202.00 	0.00 	7920790.19 	-6866111.18 		13631122.77 
63	上海市华侨事业发展基金会	2013	875503.36 	0	0		0	0	0	0	875503.36 	0.00 	0	0	0	0.00 	0.00 		875503.36	11214075.95 	0	0		0	4286500	969469.73 	13935.65 	16483981.33 	14623158.3	1093404.82 	793231.15 	0.00 	16509794.27 	0.00 		-25812.94 
64	上海市卢湾区教育基金会	2013	219529.53 	0	0		0	0	0	68062	287591.53 	214617.50 	0	0	0	214617.50 	0.00 		72974.03	0.00 	0	0		0	0	0.00 	527576.59 	527576.59 	1344075.5	118462.28 	2192.30 	0.00 	1464730.08 	0.00 		-937153.49 
65	上海市卫生系统青年人才奖励基金会	2013	655000.00 	0	156800		0	0	0	144602.85	956402.85 	1002983.20 	112500.77	0	14107.8	1129591.77 	0.00 		-173188.92	0.00 	0	0		0	0	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 		0.00 
66	上海市嘉定区教育奖励基金会	2013	1079108.41 	0	0		0	0	0	0	1079108.41 	152864.00 	0	0	0	152864.00 	339485.00 		586759.41	0.00 	0	0		0	0	1900000.00 	9845.93 	1909845.93 	2523893.8	62233.50 	0.00 	0.00 	2586127.30 	-339485.00 		-336796.37 
67	上海市大学生科技创业基金会	2013	1696422.00 	0	0		0	119940000	0	1527264.68	123163686.68 	13635706.05 	0	0	0	13635706.05 	0.00 		109527980.6	402965.00 	0	0		0	0	6729619.74 	16916209.85 	24048794.59 	8120982.32	2288861.95 	0.00 	70907.03 	10480751.30 	0.00 		13568043.29 
68	上海市奉贤区教育基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	15988421.96 	0	0		0	0	0.00 	100000.00 	16088421.96 	260572.6	51988.68 	-11775.28 	0.00 	300786.00 	0.00 		15787635.96 
