机构ID	数据年度	货币资金	短期投资	应收款项	预付账款	存货	待摊费用	一年内到期的长期债权投资	其他流动资产	流动资产合计	长期股权投资	长期债权投资	其他长期投资	长期投资合计	固定资产原价	累计折旧	固定资产净值	在建工程	文物文化资产	固定资产清理	固定资产合计	无形资产	受托代理资产	资产合计	短期借款	应付款项	应付工资	应交税金	预收帐款	预提费用	预计负债	一年内到期的长期负债	其他流动负债	流动负债合计	长期借款	长期应付款	其他长期负债	长期负债合计	受托代理负债	负债合计	非限定性净资产	限定性净资产	净资产合计	负债和净资产合计
ricf_oid	fp_yr	fp_csh	fp_sti	fp_rec	fp_prp	fp_rm	fp_deex	fp_onin	fp_otfl	fp_tofl	fp_lost	fp_lode	fp_loin	fp_loto	fp_fior	fp_fide	fp_fias	fp_inbu	fp_clas	fp_fifx	fp_fito	fp_noas	fp_agas	fp_asto	fp_shbo	fp_shpa	fp_shsa	fp_shta	fp_fra	fp_prex	fp_prde	fp_ode	fp_otde	fp_flde	fp_lobo	fp_lopa	fp_otld	fp_ldto	fp_agd	fp_det	fp_unls	fp_lims	fp_ntt	fp_tt
996	2013	12775328.2	4000000	4345343.27	200000	0	0	0	0	21320671.47	0	0	0	0	279024	53812.2	225211.8	0	0	0	225211.8	0	0	21545883.27	0	17191070.73	0	0	0	0	0	0	0	17191070.73	0	0	0	0	0	17191070.73	295584.04	4059228.5	4354812.54	21545883.27
997	2013	13614867.28	0	0	0	0	0	0	0	13614867.28	0	0	0	0	0	0	0	0	0	0	0	0	0	13614867.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13614867.28	0	13614867.28	13614867.28
998	2013	8504273.18	0	8292	0	0	0	0	0	8512565.18	0	0	0	0	134938	56975	77963	0	0	0	77963	3666.8	0	8594194.98	0	0	0	0	0	0	0	0	140000	140000	0	0	0	0	220000	360000	5944154.98	2290040	8234194.98	8594194.98
999	2013	7942876.53	0	7268040	0	0	0	0	0	15210916.53	0	0	0	0	3981544	547100	3434444	0	0	0	3434444	0	0	18645360.53	0	1577672	0	0	0	0	0	0	0	1577672	0	0	0	0	0	1577672	10506714.03	6560974.5	17067688.53	18645360.53
1000	2013	53097949.22	2675185.98	791900	0	0	0	0	0	56565035.2	0	0	0	0	514182	178217.84	335964.16	0	0	0	335964.16	0	0	56900999.36	0	803494.51	0	0	0	0	0	0	0	803494.51	0	0	0	0	0	803494.51	36263303.66	19834201.19	56097504.85	56900999.36
1001	2013	5716679.99	0	900000	0	0	0	0	0	6616679.99	0	0	0	0	0	0	0	0	0	0	0	0	0	6616679.99	0	500	0	0	0	0	0	0	0	500	0	0	0	0	0	500	2616179.99	4000000	6616179.99	6616679.99
1002	2013	5126082.68	0	200000	0	0	0	0	0	5326082.68	0	0	0	0	478090	0	478090	0	0	0	478090	0	0	5804172.68	0	254564.8	0	0	0	0	0	0	0	254564.8	0	0	0	0	0	254564.8	4506128.14	1043479.74	5549607.88	5804172.68
1003	2013	17691843.91	2000000	0	0	0	0	0	0	19736303.91	240000	0	0	240000	67310	24867.82	42442.18	0	0	0	42442.18	0	0	20018746.09	0	167243.36	0	0	0	0	0	0	0	167243.36	0	0	0	0	0	167243.36	15851502.73	4000000	19851502.73	20018746.09
1004	2013	41434137.46	0	2043977.22	0	0	0	0	0	44056011.68	100000	56543516.8	0	56643516.8	2417708.77	1363928.55	1053780.22	0	0	0	1053780.22	5378.4	9900	101768587.1	0	2110733.05	6926.19	0	0	0	0	0	0	2117659.24	0	0	0	0	0	2117659.24	8105088.02	91545839.84	99650927.86	101768587.1
1005	2013	159694008.2	0	0	0	0	0	0	0	159694008.2	0	0	0	0	425368	326099.38	99268.62	0	0	0	99268.62	0	6096593.81	165889870.6	0	5065578.96	0	0	0	0	0	0	0	5065578.96	0	0	0	0	6096593.81	11162172.77	6351574.21	148376123.6	154727697.8	165889870.6
1006	2013	9775277.34	0	0	0	0	0	0	0	9775277.34	0	0	0	0	0	0	0	0	708000	0	708000	0	0	10483277.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10483277.34	0	10483277.34	10483277.34
1007	2013	529332.5	0	100000	0	0	0	0	0	629332.5	0	1950000	0	1950000	0	0	0	0	0	0	0	0	0	2579332.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2579332.5	2579332.5	2579332.5
1008	2013	18845383.6	0	787858.93	112700	0	0	0	0	19745942.53	0	0	0	0	221739	115739.52	105999.48	0	0	0	105999.48	0	0	19851942.01	0	7596458.24	0	0	0	0	0	0	0	7658255.84	0	0	0	0	0	7658255.84	4654991.5	7538694.67	12193686.17	19851942.01
1009	2013	2131516.92	0	2562915.93	420000	0	0	0	0	7987868.85	4400000	0	0	4400000	265333	167450.61	97882.39	0	0	0	97882.39	0	0	12485751.24	0	1813407.22	0	0	0	0	0	0	0	1813407.22	1000000	0	0	1000000	0	2813407.22	5672344.02	4000000	9672344.02	12485751.24
1010	2013	165735.95	4000000	70703.9	0	0	0	0	0	4236439.85	0	0	0	0	26741	7355.71	19385.29	0	0	0	19385.29	0	0	4255825.14	0	54371.72	0	0	0	0	0	0	0	54371.72	0	0	0	0	0	54371.72	51453.42	4150000	4201453.42	4255825.14
1011	2013	194695.74	4660000	0	0	0	0	0	0	4854695.74	0	0	0	0	195167	0	195167	0	0	0	195167	0	0	5049862.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5049862.74	0	5049862.74	5049862.74
1012	2013	576973.93	0	4068875.53	0	0	0	0	0	4645849.46	0	0	0	0	151680	17700	133980	0	0	0	133980	0	0	4779829.46	0	0	0	0	0	0	0	0	0	0	0	188122.94	0	188122.94	0	188122.94	4587706.52	4000	4591706.52	4779829.46
1013	2013	8258716.41	3188483.28	6000	0	0	0	0	0	11453199.69	0	0	0	0	56388	56388	0	0	0	0	0	0	0	11453199.69	0	153000	16000	0	0	0	0	0	0	169000	0	0	0	0	0	169000	3419924.69	7864275	11284199.69	11453199.69
1014	2013	1418930.28	0	1009.83	0	0	0	0	0	1419940.11	3600000	0	0	3600000	19616	11314.04	8301.96	0	0	0	8301.96	0	0	5028242.07	0	330	0	7056	0	0	0	0	0	7386	0	0	0	0	0	7386	546469.13	4474386.94	5020856.07	5028242.07
1015	2013	2378637.16	0	3884983.3	0	0	0	0	0	6263620.46	0	0	0	0	711300	0	711300	0	0	0	711300	0	0	6974920.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	746554.76	6228365.7	6974920.46	6974920.46
1016	2013	10662840.08	0	317.12	0	0	0	0	0	10663157.2	0	1713187.42	0	1713187.42	133930	79840	54090	0	0	0	54090	0	0	12430434.62	0	32407.37	0	0	0	0	0	0	0	419407.37	0	0	0	0	4467335.5	4886742.87	845419.14	6698272.61	7543691.75	12430434.62
