ricf_oid_2013	ba_cn	fp_dt	ao_ad	ao_dd	ao_ddc	ao_ddi	ao_od	ao_odn	ao_odi	ao_nni	ao_adn	ao_ddn	ao_ddnn	ao_ddin	ao_odnn	ao_odnn.1	ao_odin	ao_nnin	ao_lst	ao_ate	ao_cc	ao_slr	ao_adex	ao_did	ao_dn	ao_dcae	ao_ncae	ao_dcan	ao_ncan	ao_use	ricf_oid	ba_uscc
694	北京百高建筑科技基金会	2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		0.0	0.0	0.0	0.0								694.0	531100000896949411
695	北京益公公益基金会	2013	2000000.0	2000000.0	2000000.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		0.0	0.0	0.0	0.0								695.0	53110000082819799K
696	北京祥和公益基金会	2013	2500000.0	2500000.0	0.0	2500000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		357321.54	327310.0	30011.54	0.0								696.0	531100000696194189
697	北京科学教育发展基金会	2013	45865000.0	45865000.0	0.0	45865000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		30133439.38	27595992.68	1008243.3	1529203.4								697.0	531100005996077486
698	北京科技大学教育发展基金会	2013	18305876.0	18305876.0	7737899.0	10567977.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		4219617.52	4203977.0	0.0	15640.52								698.0	531000007178330346
699	北京第二外国语学院教育发展基金会	2013	2000000.0	2000000.0	0.0	2000000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		0.0	0.0	0.0	0.0								699.0	53110000082862965K
700	北京精瑞人居发展基金会	2013	3242397.0	3242397.0	398047.0	2844350.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		3471894.27	3125039.47	230581.28	115821.29								700.0	531100006615513012
701	北京紫檀文化基金会	2013	4150000.0	4150000.0	1000000.0	3150000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		3320256.03	3191950.3	94290.5	33584.73								701.0	53110000597689946B
702	北京红社会公益基金会	2013	2200000.0	2200000.0	200000.0	2000000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		200000.0	200000.0	0.0	0.0								702.0	531100000612866554
703	北京绿化基金会	2013	1225036.02	1225036.02	54350.0	1170686.02	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		5577676.81	5348162.21	126501.6	103013.0								703.0	53110000500309522J
704	北京绿能煤炭经济研究基金会	2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		948456.67	857993.2	73200.0	17263.47								704.0	53110000580800409W
705	北京绿色未来环境基金会	2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		1817319.99	1803024.39	0.0	14295.6								705.0	531100005858086106
706	北京绿谷教育基金会	2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		7200.0	1500.0	0.0	5700.0								706.0	531100006908052787
