机构ID	机构名称	报表时间	接受捐赠收到的现金	收取会员费收到的现金	提供服务收到的现金	销售商品收到的现金	政府补贴收到的现金	收到的与其他业务活动有关的现金	业务活动现金流入小计	提供捐赠或者资助支付的现金	支付给员工以及为员工支付的现金	购买商品接受服务支付的现金	支付的其他与业务活动有关的现金	业务活动现金流出小计	业务活动产生的现金净流量	收回投资所收到的现金	取得投资收益所收到的现金	处置固定资产和无形资产所收回的现金	收到的其他与投资有关的现金	投资活动现金流入小计	购建固定资产和无形资产所支付的现金	对外投资所支付的现金	支付的其他与投资活动有关的现金	投资活动现金流出小计	投资活动产生的现金流量净额	借款所收到的现金	收到的其他与筹资活动有关的现金	筹资活动现金流入小计	偿还借款所支付的现金	偿还利息所支付的现金	支付的其他与筹资活动有关的现金	筹资活动现金流出小计	筹措活动产生的现金流量净额	汇率变动对现金的影响	现金及现金等价物净增加额
ricf_oid	ba_cn	fp_dt	cf_doc	cf_soc	cf_srvc	cf_proc	cf_govc	cf_otca	cf_atci	cf_dopc	cf_stpc	cf_psc	cf_otpc	cf_atco	cf_anc	cf_inc	cf_inrc	cf_assc	cf_oc	cf_itci	cf_aspc	cf_inpc	cf_oinc	cf_tinc	cf_intc	cf_leca	cf_tfc	cf_tfic	cf_bopc	cf_inpc	cf_ofc	cf_tfoc	cf_nfl	cf_exch	cf_ninc
864	厦门大学陈安国际法学发展基金会	2013	159400	0	0	0	0	0	159400.00 	94730.00 	0	0	543.82 	95273.82 	64126.18 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	3017.71	3017.71	0	0	0.00 	0.00 	3017.71 	0	0
865	厦门工商旅游学校教育基金会	2013	125420	0	0	0	0	22431.1	147851.10 	177043.78 	0	3747.5	0.00 	180791.28 	-32940.18 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
866	厦门市妇女儿童发展基金会	2013	2453646.3	0	0	0	0	13599.99	2467246.29 	1748531.00 	53000	13646.6	0.00 	1815177.60 	652068.69 	0.00 	300083.33 	0	0	300083.33 	0.00 	0.00 	0.00 	0.00 	300083.33 	0	0	0	0	0	8750.00 	8750.00 	-8750.00 	0	0
867	厦门市教育基金会	2013	52951950.01	0	0	0	190000	227186.43	53369136.44 	46226491.40 	421137.89	431682.71	852449.27 	47931761.27 	5437375.17 	25660000.00 	9639025.04 	0	0	35299025.04 	40500.00 	7000000.00 	0.00 	7040500.00 	28258525.04 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
868	厦门市红十字基金会	2013	9336415.56	0	789903	0	0	321287.78	10447606.34 	11770560.57 	831251.58	347569.28	397135.74 	13346517.17 	-2898910.83 	31000000.00 	3109775.80 	0	0	34109775.80 	209398.00 	32000000.00 	0.00 	32209398.00 	1900377.80 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
869	厦门市翔业爱心基金会	2013	0	0	0	0	0	17642.47	17642.47 	1347855.57 	6000	0	152621.08 	1506476.65 	-1488834.18 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
870	厦门市翔安区教育基金会	2013	11506838.49	0	0	0	600018	1591828.95	13698685.44 	10287210.00 	102940	237706	0.00 	10627856.00 	3070829.44 	22000000.00 	0.00 	0	0	22000000.00 	19650.00 	25000000.00 	0.00 	25019650.00 	-3019650.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
871	厦门市老年基金会	2013	4376200	0	0	0	5000000	4426390.39	13802590.39 	6046273.59 	166990.39	815008.13	3610.00 	7031882.11 	6770708.28 	11000000.00 	4445059.63 	0	0	15445059.63 	6098.00 	21100000.00 	0.00 	21106098.00 	-5661038.37 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
872	厦门市集美社公业基金会	2013	1600000	0	0	0	0	38136.65	1638136.65 	1498335.00 	76350	0	35957.00 	1610642.00 	27494.65 	2800000.00 	0.00 	0	0	2800000.00 	1300.00 	3000000.00 	0.00 	3001300.00 	-201300.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
873	厦门市革命传统教育发展基金会	2013	1350000	0	0	0	0	48617.75	1398617.75 	312200.00 	0	0	0.00 	312200.00 	1086417.75 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
874	厦门建安慈善基金会	2013	1010174	0	0	0	0	2133775.65	3143949.65 	2382683.00 	8395.17	97778.61	11574.00 	2500430.78 	643518.87 	2200000.00 	149600.00 	0	0	2349600.00 	0.00 	0.00 	0.00 	0.00 	2349600.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
875	厦门春水爱心基金会	2013	2000000	0	0	0	0	0	2000000.00 	172100.00 	0	0	4509.93 	176609.93 	1823390.07 	1100000.00 	0.00 	0	0	1100000.00 	0.00 	1200000.00 	0.00 	1200000.00 	-100000.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
876	厦门残疾人福利基金会	2013	1053714.6	0	0	0	1600000	4324.48	2658039.08 	1186397.00 	263514.4	67287.19	662032.06 	2179230.65 	478808.43 	0.00 	0.00 	0	0	0.00 	30920.00 	0.00 	0.00 	30920.00 	-30920.00 	0	0	0	30000	0	0.00 	30000.00 	-30000.00 	0	0
877	厦门眼科中心光明基金会	2013	3900000	0	0	0	0	6638.45	3906638.45 	3920757.32 	0	2023.5	0.00 	3922780.82 	-16142.37 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
878	厦门第一中学教育基金会	2013	7826131.8	0	0	0	0	28854.61	7854986.41 	3282377.00 	23920	148814.6	923364.00 	4378475.60 	3476510.81 	0.00 	485390.00 	0	0	485390.00 	0.00 	0.00 	0.00 	0.00 	485390.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
879	厦门苏颂科技教育基金会	2013	3671800	0	0	0	0	0	3671800.00 	0.00 	0	0	2377185.60 	2377185.60 	1294614.40 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
880	厦门观音寺慈善基金会	2013	2267825.06	0	0	0	0	4786.97	2272612.03 	2356293.50 	24000	0	13476.00 	2393769.50 	-121157.47 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
881	厦门集友陈嘉庚教育基金会	2013	1560051.1	0	0	0	0	168186.31	1728237.41 	544800.00 	11220	6442.2	8336.60 	570798.80 	1157438.61 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
882	友成企业家扶贫基金会	2013	31546128.29	0	0	0	0	353696.36	31899824.65 	24270143.75 	2429515.98	0	15054.76 	26714714.49 	5185110.16 	4083807.41 	-98885.61 	0	0	3984921.80 	0.00 	6482418.37 	0.00 	6482418.37 	-2497496.57 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
883	双流县教育基金会	2013	202004.71	0	0	0	151874	1126408.75	1480287.46 	960704.50 	0	0	784315.60 	1745020.10 	-26732.64 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
887	台州市老年事业发展基金会	2013	804375	0	0	0	320000	1186755.7	2311130.70 	1627551.00 	35400	0	2056065.63 	3719016.63 	-1407885.93 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
888	台州市见义勇为基金会	2013	2675000	0	0	0	0	220982.98	2895982.98 	410000.00 	0	104020	4791.00 	518811.00 	2377171.98 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
889	台州市路桥区教育发展基金会	2013	100000	0	0	0	0	540991.96	640991.96 	5441221.16 	0	24759.69	71601.40 	5537582.25 	-4896590.29 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
890	台州市黄岩区慈善基金会	2013	1047500	0	0	0	0	9374.69	1056874.69 	757500.00 	27100	0	8959.50 	793559.50 	263315.19 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
891	台州市黄岩区教育发展基金会	2013	0	0	0	0	0	331608.2	331608.20 	0.00 	0	201005.5	43534.00 	244539.50 	87068.70 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
892	台州职业技术学院涌泉奖助基金会	2013	870836.98	0	0	0	0	8543.61	879380.59 	561100.00 	0	4500	45534.00 	611134.00 	268246.59 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
893	合浦县同心共建和谐基金会	2013	2010000	0	0	0	0	2022.62	2012022.62 	2010000.00 	0	0	100.00 	2010100.00 	1922.62 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
894	合肥宝业救助特困群体基金会	2013	5490000	0	0	0	0	113592.9	5603592.90 	500000.00 	0	0	1454.38 	501454.38 	5102138.52 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
895	合肥工业大学教育基金会	2013	31683000	0	0	0	0	2453305.46	34136305.46 	25909358.70 	0	0	245695.30 	26155054.00 	7981251.46 	0.00 	566040.00 	0	0	566040.00 	6050.00 	5200000.00 	0.00 	5206050.00 	-4640010.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
896	合肥市关爱环卫工人基金会	2013	464200	0	0	0	0	5374.53	469574.53 	19000.00 	0	0	3921.80 	22921.80 	446652.73 	1800000.00 	30032.88 	0	0	1830032.88 	0.00 	1800000.00 	0.00 	1800000.00 	30032.88 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
897	合肥市巾帼妇女发展基金会	2013	2000000	0	0	0	0	1258	2001258.00 	0.00 	0	0	1170.00 	1170.00 	2000088.00 	0.00 	29700.00 	0	0	29700.00 	0.00 	1800000.00 	4540.80 	1804540.80 	-1774840.80 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
898	合肥市幸福瑶海公益慈善基金会	2013	0	0	2190000	0	0	640000	2830000.00 	0.00 	0	773000	1935344.80 	2708344.80 	121655.20 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	881.68	881.68	0	0	68.00 	68.00 	813.68 	0	0
899	合肥市见义勇为奖励基金会	2013	700000	0	0	0	0	104105.87	804105.87 	0.00 	0	0	326553.00 	326553.00 	477552.87 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
900	合肥市阳光志愿服务基金会	2013	3100000	0	0	0	0	0	3100000.00 	0.00 	0	0	0.00 	0.00 	3100000.00 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
901	合肥火炬青年创业基金会	2013	20000	0	0	0	0	0	20000.00 	0.00 	0	0	594.85 	594.85 	19405.15 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
902	吉林大学唐敖庆教育基金会	2013	150000	0	0	0	0	151460.53	301460.53 	620000.00 	0	0	17278.00 	637278.00 	-335817.47 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
903	吉林大学教育基金会	2013	26367647.65	0	0	0	0	929601.3	27297248.95 	7595375.89 	0	0	2283941.33 	9879317.22 	17417931.73 	28600000.00 	326805.75 	0	0	28926805.75 	0.00 	48600000.00 	0.00 	48600000.00 	-19673194.25 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
905	吉林市公安民警优抚基金会	2013	0	200000	0	0	0	105633.54	305633.54 	1822500.00 	0	0	1984110.50 	3806610.50 	-3500976.96 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
906	吉林市白山发电厂爱心救助基金会	2013	123000	0	0	0	0	4566.12	127566.12 	160000.00 	0	0	1678.00 	161678.00 	-34111.88 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
908	吉林师范大学助学基金会	2013	3181000	0	0	0	0	13051.79	3194051.79 	701796.00 	0	0	59657.90 	761453.90 	2432597.89 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
909	吉林康乃尔助学基金会	2013	2350000	0	0	0	0	1026.28	2351026.28 	856800.00 	0	0	17505.00 	874305.00 	1476721.28 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
910	吉林省中东爱心基金会	2013	404038.6	0	0	0	0	272282.76	676321.36 	773670.48 	0	0	11606.00 	785276.48 	-108955.12 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
911	吉林省交通助老基金会	2013	360000	0	0	0	0	15655.3	375655.30 	8275.00 	0	0	1308048.01 	1316323.01 	-940667.71 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
912	吉林省人口福利基金会	2013	1492700	0	0	0	1000000	0	2492700.00 	5417527.00 	139200	0	69672.27 	5626399.27 	-3133699.27 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
913	吉林省人才开发基金会	2013	0	0	0	0	27000000	94061.62	27094061.62 	10521485.00 	4800	0	806932.20 	11333217.20 	15760844.42 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
914	吉林省体育事业发展基金会	2013	1000000	0	0	0	0	77335.14	1077335.14 	0.00 	0	0	216685.76 	216685.76 	860649.38 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	5000000	5000000	0	0	0.00 	0.00 	5000000.00 	0	0
915	吉林省公安民警优抚基金会	2013	0	1100000	0	0	0	128763.42	1228763.42 	1501149.50 	0	0	53344.30 	1554493.80 	-325730.38 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
916	吉林省农村信用社慈善基金会	2013	23209033.91	0	0	0	0	38033.67	23247067.58 	4897000.00 	0	0	2500.00 	4899500.00 	18347567.58 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
917	吉林省大禹助学基金会	2013	0	0	0	0	0	11827.05	11827.05 	0.00 	0	0	5004800.00 	5004800.00 	-4992972.95 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	5000000	5000000	0	0	0.00 	0.00 	5000000.00 	0	0
918	吉林省妇女儿童福利基金会	2013	2521300	0	0	0	0	342146.99	2863446.99 	2380622.20 	12000	0	32600.40 	2425222.60 	438224.39 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
920	吉林省延边朝鲜族自治州老龄事业发展基金会	2013	500000	0	0	0	0	0	500000.00 	487000.00 	0	0	41352.00 	528352.00 	-28352.00 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
921	吉林省志愿服务发展基金会	2013	1430000	0	0	0	0	8268.03	1438268.03 	0.00 	0	0	419895.52 	419895.52 	1018372.51 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	2000000	2000000	0	0	402605.40 	402605.40 	1597394.60 	0	0
922	吉林省惠慈健康发展基金会	2013	0	0	0	0	0	0	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
924	吉林省振国健康事业公益基金会	2013	0	0	0	0	0	2008320.48	2008320.48 	174376.00 	0	0	2005145.30 	2179521.30 	-171200.82 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
925	吉林省教育基金会	2013	14100000	0	0	0	0	0	14100000.00 	9764716.23 	0	0	199037.40 	9963753.63 	4136246.37 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
926	吉林省敦化市文化发展基金会	2013	0	0	0	0	0	131.56	131.56 	0.00 	0	0	420.00 	420.00 	-288.44 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
927	吉林省春雨仁爱基金会	2013	0	0	0	0	0	3950.3	3950.30 	632301.06 	0	0	6271.28 	638572.34 	-634622.04 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
928	吉林省残疾人福利基金会	2013	1241932.5	0	0	0	0	106780.29	1348712.79 	848920.00 	0	0	93271.50 	942191.50 	406521.29 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
929	吉林省社会发展基金会	2013	0	0	0	0	0	215.89	215.89 	0.00 	0	0	6671.75 	6671.75 	-6455.86 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
930	吉林省神华社会救助基金会	2013	0	1373400	0	0	0	6412565.3	7785965.30 	1776086.51 	0	7400	7500633.90 	9284120.41 	-1498155.11 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
931	吉林省绿化基金会	2013	3130310	0	0	0	0	11538.12	3141848.12 	0.00 	2507056	0	42950.80 	2550006.80 	591841.32 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
932	吉林省老龄事业发展基金会	2013	2034400	0	0	0	1200000	379872.5	3614272.50 	9561581.54 	625738	0	784280.69 	10971600.23 	-7357327.73 	0.00 	0.00 	0	0	0.00 	143781.00 	0.00 	0.00 	143781.00 	-143781.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
933	吉林省荒漠化治理基金会	2013	2416694.18	0	0	0	0	210998.67	2627692.85 	2443279.60 	33137.38	0	93942.60 	2570359.58 	57333.27 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
934	吉林省见义勇为基金会	2013	1705000	0	0	0	550000	70603.79	2325603.79 	2155163.00 	61070.2	0	2347465.81 	4563699.01 	-2238095.22 	2500000.00 	240000.00 	0	0	2740000.00 	114286.00 	0.00 	0.00 	114286.00 	2625714.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
935	吉林省青少年发展基金会	2013	13984534	0	0	0	0	434763.72	14419297.72 	14350469.30 	272311.17	0	182698.61 	14805479.08 	-386181.36 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
936	吉林省青年创业就业基金会	2013	1600000	0	0	0	248000	38810.27	1886810.27 	3200000.00 	54363.71	0	164759.12 	3419122.83 	-1532312.56 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
937	同心县同德公益慈善基金会	2013	3009860	0	0	0	0	8653.95	3018513.95 	705600.00 	21500	0	28115.50 	755215.50 	2263298.45 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
938	启东市孙锦昌助学奖学教育基金会	2013	281500	0	0	0	0	1025400	1306900.00 	868383.00 	9600	20311.2	72669.00 	970963.20 	335936.80 	0.00 	13971.74 	0	0	13971.74 	0.00 	755000.00 	0.00 	755000.00 	-741028.26 	0	451.05	451.05	0	591.58	0.00 	591.58 	-140.53 	0	0
939	启东市慈善基金会	2013	15812456.88	0	0	0	0	3184534.59	18996991.47 	14531916.00 	0	0	10560799.90 	25092715.90 	-6095724.43 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
940	启东市见义勇为基金会	2013	966000	0	0	0	0	700000	1666000.00 	504366.00 	43833	0	4633.04 	552832.04 	1113167.96 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
942	吴作人国际美术基金会	2013	1769280	0	142000	0	6500	0	1917780.00 	0.00 	205712.07	0	2369947.78 	2575659.85 	-657879.85 	1500000.00 	276380.70 	0	0	1776380.70 	424483.78 	0.00 	0.00 	424483.78 	1351896.92 	0	1072.9	1072.9	0	0	0.00 	0.00 	1072.90 	0	0
943	吴江常青帮困基金会	2013	0	0	0	0	0	600169.02	600169.02 	600000.00 	0	0	8738.34 	608738.34 	-8569.32 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
944	吴江盛虹爱心基金会	2013	0	0	0	0	252700	0	252700.00 	890000.00 	111317.32	0	0.00 	1001317.32 	-748617.32 	6300000.00 	38429.65 	0	0	6338429.65 	0.00 	7300000.00 	0.00 	7300000.00 	-961570.35 	0	7995.68	7995.68	0	0	635.00 	635.00 	7360.68 	0	0
945	吴阶平医学基金会	2013	41973801.65	0	0	0	0	519741.78	42493543.43 	48426336.69 	1088563	0	1211262.30 	50726161.99 	-8232618.56 	84000000.00 	966668.50 	0	0	84966668.50 	0.00 	84000000.00 	0.00 	84000000.00 	966668.50 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
946	周培源基金会	2013	3576542	0	200000	0	0	2164.27	3778706.27 	0.00 	34500	0	628120.62 	662620.62 	3116085.65 	2000000.00 	359059.68 	0	0	2359059.68 	0.00 	5450600.00 	0.00 	5450600.00 	-3091540.32 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
947	呼伦贝尔市扶贫基金会	2013	0	0	0	0	100000	0	100000.00 	0.00 	24000	52325	0.00 	76325.00 	23675.00 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
948	呼和浩特市赛罕区新希望教育发展基金会	2013	120000	0	0	0	0	4028.74	124028.74 	90000.00 	0	0	17862.00 	107862.00 	16166.74 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
950	哈尔滨医科大学发展基金会	2013	42149987.72	0	0	0	0	58035.99	42208023.71 	0.00 	0	0	28876102.85 	28876102.85 	13331920.86 	0.00 	0.00 	0	0	0.00 	1437751.63 	0.00 	0.00 	1437751.63 	-1437751.63 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
951	哈尔滨商业大学教育发展基金会	2013	27400	0	0	0	0	26662.59	54062.59 	494572.27 	0	0	10650.55 	505222.82 	-451160.23 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
952	哈尔滨工业大学教育发展基金会	2013	90934908.16	0	0	0	0	1951164.51	92886072.67 	39741729.67 	0	0	282990.40 	40024720.07 	52861352.60 	0.00 	2534.73 	0	0	2534.73 	1100.00 	700000.00 	0.00 	701100.00 	-698565.27 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
953	哈尔滨工程大学教育发展基金会	2013	31387761.22	0	0	0	0	809548.01	32197309.23 	2786343.70 	217946.87	1193617.4	1285076.62 	5482984.59 	26714324.64 	0.00 	0.00 	0	0	0.00 	370260.00 	0.00 	0.00 	370260.00 	-370260.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
954	哈尔滨市公安民警救助基金会	2013	0	0	0	0	8000000	59536.91	8059536.91 	492000.00 	8343	0	7623.00 	507966.00 	7551570.91 	0.00 	20000000.00 	0	0	20000000.00 	0.00 	0.00 	0.00 	0.00 	20000000.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
956	哈尔滨市南岗区残疾人福利基金会	2013	0	0	0	0	0	4438.86	4438.86 	248886.39 	101250	0	11465.00 	361601.39 	-357162.53 	0.00 	0.00 	0	0	0.00 	27272.00 	0.00 	0.00 	27272.00 	-27272.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
957	哈尔滨市残疾人福利基金会	2013	16272309.74	0	0	0	3429880	423785.82	20125975.56 	18001059.94 	212282.46	0	233755.95 	18447098.35 	1678877.21 	0.00 	0.00 	0	0	0.00 	2099.00 	0.00 	0.00 	2099.00 	-2099.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
958	哈尔滨市百威英博城市发展基金会	2013	0	0	0	0	0	139666.09	139666.09 	284000.00 	0	0	3020.00 	287020.00 	-147353.91 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
959	哈尔滨市老年基金会	2013	2994006	0	0	0	0	119631	3113637.00 	2815328.00 	150000	0	60151.00 	3025479.00 	88158.00 	0.00 	1994772.00 	0	0	1994772.00 	0.00 	0.00 	0.00 	0.00 	1994772.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
960	哈尔滨市见义勇为奖励基金会	2013	0	0	0	0	0	39627.12	39627.12 	0.00 	18720	0	270943.84 	289663.84 	-250036.72 	8500000.00 	650219.10 	0	0	9150219.10 	0.00 	7500000.00 	0.00 	7500000.00 	1650219.10 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
961	哈尔滨市道里区慈善基金会	2013	0	0	0	0	0	1760061.29	1760061.29 	1504400.00 	0	0	199918.68 	1704318.68 	55742.61 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
