机构ID	机构名称	数据年度	本年度捐赠收入_现金	来自境内的捐赠_现金	来自境内自然人的捐赠_现金	来自境内法人或者其他组织的捐赠_现金	来自境外的捐赠_现金	来自境外自然人的捐赠_现金	来自境外法人或者其他组织的捐赠_现金	接受非公益性捐赠情况_现金	本年度捐赠收入_非现金	来自境内的捐赠_非现金	来自境内自然人的捐赠_非现金	来自境内法人或者其他组织的捐赠_非现金	来自境外的捐赠_非现金	来自境外自然人的捐赠_非现金	来自境外法人或者其他组织的捐赠_非现金	接受非公益性捐赠情况_非现金	上年度基金余额	本年度总支出	本年度用于公益事业的支出	工作人员工资福利支出	行政办公支出	其他支出	捐赠主体ID	捐赠主体名称	捐赠额_现金_限定	捐赠额_非现金_限定	捐赠额_现金_非限定	捐赠额_非现金_非限定	用途
ricf_id	ba_cn 	fp_yr	ao_ad	ao_dd	ao_ddc	ao_ddi	ao_od	ao_odn	ao_odi	ao_nni	ao_adn	ao_ddn	ao_ddnn	ao_ddin	ao_odnn	ao_odnn	ao_odin	ao_nnin	ao_lst	ao_ate	ao_cc	ao_slr	ao_adex	ao_othex	ao_did	ao_dn	ao_dcae	ao_ncae	ao_dcan	ao_ncan	ao_use
2889	苏州工艺美术职业技术学院教育发展基金会	2014	1,228,150.00	1,228,150.00	156,040.00	1,072,110.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		3,056,805.84	3,041,755.74	0.00	15,050.10	0.00							
2890	苏州市儿童少年基金会	2014	639,935.52	639,935.52	639,935.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,219,448.88	1,071,199.61	94,139.00	10,186.03	43,924.24							
2891	苏州市党员关爱暨帮扶困难群众基金会	2014	26,175,209.30	26,175,209.30	11,825,209.30	14,350,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		22,927,787.50	22,824,600.00	42,000.00	12,750.00	48,437.50							
2893	苏州市吴江区党员关爱暨帮扶困难群众基金会	2014	3,370,887.30	3,370,887.30	3,370,887.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		8,166,616.17	8,101,000.00	54,000.00	11,089.98	526.19							
2894	苏州市吴江区慈善基金会	2014	72,635,454.41	72,635,454.41	400.00	72,635,054.41	0.00	0.00	0.00	0.00	201,550.00	201,550.00	0.00	201,550.00	0.00	0.00	0.00	0.00		91,969,928.50	91,969,593.50	0.00	0.00	335.00							
2895	苏州市吴江区见义勇为基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,303,663.50	1,297,960.00	0.00	5,703.50	0.00							
2896	苏州市姑苏区慈善基金会	2014	22,595,966.89	22,595,966.89	525,210.00	22,070,756.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		9,145,276.90	8,958,813.60	66,286.00	120,177.30	0.00							
2897	苏州市慈善基金会	2014	30,694,296.77	30,657,305.71	1,290,221.65	29,367,084.06	36,991.06	0.00	36,991.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		29,538,087.03	28,797,233.76	85,302.03	646,127.56	9,423.68							
2898	苏州市教育发展基金会	2014	12,170,670.00	12,170,670.00	8,760,870.00	3,409,800.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		31,717,806.10	31,669,474.00	32,200.00	16,132.10	0.00							
2899	苏州市残疾人福利基金会	2014	15,608.00	15,608.00	7,608.00	8,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		66,387.15	52,152.15	10,000.00	4,235.00	0.00							
2901	苏州市法律援助基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,545,915.50	1,451,380.00	55,200.00	39,335.50	0.00							
2902	苏州市相城区慈善基金会	2014	3,800,538.07	3,800,538.07	692,589.83	3,107,948.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		11,089,522.30	11,088,679.80	0.00	0.00	842.50							
2903	苏州市职业大学教育发展基金会	2014	498,644.10	498,644.10	100,000.00	398,644.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		5,117,098.83	4,807,474.00	0.00	66,573.10	243,051.73							
2904	苏州市见义勇为基金会	2014	62,000.00	62,000.00	12,000.00	50,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		2,287,159.38	2,069,274.00	147,440.00	73,047.38	-2,602.00							
2906	苏州市青少年发展基金会	2014	3,518,551.00	3,518,551.00	1,000.00	3,517,551.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,674,192.10	1,597,019.00	0.00	75,732.60	1,440.50							
2907	苏州弘化社慈善基金会	2014	45,690,225.76	45,690,225.76	45,690,225.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		27,245,598.96	26,649,666.06	547,271.18	48,661.72	0.00							
2908	苏州心怡帮困助学基金会	2014	420,200.00	420,200.00	48,400.00	371,800.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		493,311.24	447,709.30	43,557.77	7,082.92	-5,038.75							
2909	苏州汇凯爱心基金会	2014	10,000.00	10,000.00	10,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		117,612.50	116,000.00	0.00	1,612.50	0.00							
2910	苏州科技学院教育发展基金会	2014	4,765,716.06	4,765,716.06	0.00	4,765,716.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		30,084,914.86	30,207,000.00	0.00	12,000.00	-134,085.14							
2911	苏州高新区慈善基金会	2014	1,838,759.20	1,838,759.20	1,373,159.20	465,600.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,648,233.18	1,491,642.62	70,679.56	85,911.00	0.00							
2914	茂名市见义勇为基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		129,526.40	129,526.40	0.00	0.00	0.00							
2917	莆田市砺山慈善基金会	2014	2,300,000.00	2,300,000.00	2,300,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		887,622.85	872,039.00	13,500.00	2,083.85	0.00							
2918	莘县卓越教育基金会	2014	19,200.00	19,200.00	0.00	19,200.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		293,967.60	284,080.00	9,887.60	0.00	0.00							
2919	莫力达瓦达斡尔族自治旗达斡尔族教育基金会	2014	6,000.00	6,000.00	6,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		324,451.89	295,000.00	15,000.00	14,451.89	0.00							
2920	莱芜市见义勇为基金会	2014	100,000.00	100,000.00	0.00	100,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		10,267.00	8,732.00	0.00	1,000.00	535.00							
2921	菏泽市见义勇为基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		148,527.50	120,000.00	0.00	0.00	28,527.50							
2922	营口市公安民警救助基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	200,000.00	200,000.00	0.00	200,000.00	0.00	0.00	0.00	0.00		3,131,321.56	3,149,450.00	30,000.00	8,168.00	0.00							
2923	营口市鲅鱼圈区慈善基金会	2014	963,244.50	963,244.50	963,244.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		2,804,946.78	2,670,215.28	0.00	131,781.50	2,950.00							
2924	萨马兰奇体育发展基金会	2014	3,509,668.50	3,000,000.00	1,000,000.00	2,000,000.00	509,668.50	0.00	509,668.50	0.00	12,000,000.00	12,000,000.00	12,000,000.00	0.00	0.00	0.00	0.00	0.00		13,693,059.20	13,279,607.54	120,000.00	293,694.46	0.00							
2925	葫芦岛市公安民警救助基金会	2014	432,000.00	432,000.00	432,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		513,750.00	510,000.00	0.00	3,750.00	0.00							
2926	葫芦岛市见义勇为基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		422,879.59	388,616.79	0.00	32,202.80	2,060.00							
2928	蚌埠市人民群众见义勇为奖励基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		24,784.00	20,000.00	0.00	1,541.00	3,246.00							
2929	衡东县教育基金会	2014	190,000.00	190,000.00	190,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		459,991.70	453,295.70	0.00	6,696.00	0.00							
2930	衡阳市教育基金会	2014	1,898,609.52	1,898,609.52	1,898,609.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		2,555,500.42	2,506,598.52	0.00	48,901.90	0.00							
2931	衢州市孔子教育基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,237,508.00	1,195,000.00	0.00	0.00	42,508.00							
2932	衢州市衢江区人民教育基金会	2014	6,029,770.00	6,029,770.00	6,029,770.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		5,871,085.00	5,864,793.00	0.00	4,292.00	2,000.00							
2934	襄城县成就未来助学基金会	2014	1,450,000.00	1,450,000.00	0.00	1,450,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		616,501.00	615,000.00	0.00	1,501.00	0.00							
2935	西交利物浦大学教育发展基金会	2014	37,449,000.00	37,449,000.00	9,810,000.00	27,639,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		7,503,080.70	7,450,000.00	0.00	53,080.70	0.00							
2936	西北农林科技大学教育发展基金会	2014	26,851,587.29	24,926,667.70	4,540,177.00	20,386,490.70	1,924,919.59	982,815.76	942,103.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		17,235,885.39	17,126,039.39	0.00	109,846.00	0.00							
2937	西北工业大学教育基金会	2014	94,763,876.75	94,763,876.75	33,629,723.35	61,134,153.40	0.00	0.00	0.00	0.00	199,471.30	199,471.30	0.00	199,471.30	0.00	0.00	0.00	0.00		16,011,490.13	15,766,235.36	100,285.00	51,319.02	93,650.75							
2938	西安交通大学教育基金会	2014	44,588,212.73	41,416,253.62	3,755,028.22	37,661,225.40	3,171,959.11	20,200.38	3,151,758.73	0.00	420,000.00	420,000.00	0.00	420,000.00	0.00	0.00	0.00	0.00		19,472,970.01	18,567,305.21	468,728.25	194,269.76	242,666.79							
2939	西安电子科技大学教育基金会	2014	9,493,878.11	8,835,272.29	275,000.29	8,560,272.00	658,605.82	0.00	658,605.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		3,654,928.93	3,644,304.62	0.00	10,624.31	0.00							
2940	西安高新第一中学教育基金会	2014	4,770,000.00	4,770,000.00	4,140,000.00	630,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		266,586.00	258,400.00	0.00	8,186.00	0.00							
2941	西昌市关心下一代基金会	2014	1,838,985.00	1,838,985.00	1,838,985.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,115,407.50	1,013,540.00	101,042.00	0.00	825.50							
2943	西藏民族文化保护与发展基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		400,000.00	380,000.00	20,000.00	0.00	0.00							
2944	西藏珠穆朗玛文学基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00							
2946	西藏自治区珠峰冰川环保基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	274,577.62	274,577.62	274,577.62	0.00	0.00	0.00	0.00	0.00		81,513.51	60,000.00	15,743.51	270.00	5,500.00							
2947	西藏自治区生态建设与环境保护基金会	2014	2,180,000.60	2,180,000.60	0.00	2,180,000.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		2,203,819.70	2,073,200.00	0.00	130,619.70	0.00							
2949	西藏自治区雪域天使基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		42,190.50	42,000.00	0.00	0.00	190.50							
2950	西藏青少年发展基金会	2014	20,992,201.56	20,665,125.02	72,560.00	20,592,565.02	327,076.54	327,076.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		8,181,543.57	8,181,543.57	203.00	7,200.00	-7,403.00							
2952	詹天佑科学技术发展基金会	2014	1,000,000.00	1,000,000.00	0.00	1,000,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		3,094,068.86	2,818,034.50	165,080.00	110,954.36	0.00							
2953	诸暨市九鼎教育基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		198,304.00	191,637.00	2,000.00	4,667.00								
2954	诸暨市人民教育基金会	2014	1,291,500.00	1,291,500.00	1,291,500.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		27,983,181.60	27,977,650.00	0.00	5,531.60	0.00							
2956	象山县人民教育基金会	2014	3,738,461.32	3,738,461.32	500,000.00	3,238,461.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		6,532,532.21	6,346,174.00	96,245.10	80,682.11	9,431.00							
2957	贵州省安泰公益基金会	2014	2,000,000.00	2,000,000.00	0.00	2,000,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00							
2958	贵州文化薪火乡村发展基金会	2014	977,090.50	504,090.50	184,050.00	320,040.50	473,000.00	300,000.00	173,000.00	0.00	431,064.00	431,064.00	0.00	431,064.00	0.00	0.00	0.00	0.00		1,564,281.28	1,434,934.99	246,401.93	26,276.00	-143,331.64							
2959	贵州省人口福利基金会	2014	37,102,370.54	37,102,370.54	130,700.00	36,971,670.54	0.00	0.00	0.00	0.00	200,028.00	200,028.00	0.00	200,028.00	0.00	0.00	0.00	0.00		30,888,222.34	28,314,352.70	1,761,908.07	595,571.27	2,540.00							
2960	贵州省体育发展基金会	2014	3,343,955.00	3,343,955.00	2,550,755.00	793,200.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		2,499,159.21	2,513,159.21	4,000.00	20,307.50	0.00							
2961	贵州省信合公益基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		36,567,024.82	36,384,829.96	144,052.20	38,142.66	0.00							
2962	贵州省六盘水市老年基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		381,959.60	230,860.50	39,612.10	1,662.10	0.00							
2963	贵州省六盘水市见义勇为基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		315,237.04	283,785.86	0.00	31,374.68	76.50							
2964	贵州省励业帮扶基金会	2014	298,000.00	298,000.00	298,000.00	0.00	0.00	0.00	0.00	0.00	2,400,000.00	2,400,000.00	2,400,000.00	0.00	0.00	0.00	0.00	0.00		2,703,869.35	2,532,609.00	88,786.98	59,994.74	22,478.63							
2965	贵州省同心光彩事业基金会	2014	4,318,599.40	4,318,599.40	59,399.40	4,259,200.00	0.00	0.00	0.00	0.00	347,280.00	347,280.00	0.00	347,280.00	0.00	0.00	0.00	0.00		2,844,700.80	2,601,368.50	147,526.04	14,453.04	81,353.22							
2966	贵州省妇女儿童发展基金会	2014	18,685,589.18	18,685,589.18	63,918.80	18,621,670.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		21,376,286.84	21,117,134.10	104,940.00	141,544.74	12,668.00							
2967	贵州省孔学堂发展基金会	2014	95,880,000.00	95,880,000.00	30,000.00	95,850,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		2,036,810.50	1,316,438.00	110,828.80	75,722.20	533,821.50							
2968	贵州省安顺市见义勇为基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		110,640.00	105,000.00	0.00	5,400.00	240.00							
2969	贵州省宏立城公益基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	60,200,000.00	60,200,000.00	0.00	60,200,000.00	0.00	0.00	0.00	0.00		26,476,970.59	25,679,906.30	264,557.00	15,555.00	366,989.19							
2970	贵州省扶贫基金会	2014	13,176,350.12	12,104,727.91	12,104,727.91	0.00	1,071,622.21	0.00	1,071,622.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,782,683.91	1,513,505.00	166,800.00	101,789.34	589.57							
2971	贵州省教育发展基金会	2014	22,030,187.00	21,293,648.60	3,413,740.95	17,879,907.65	736,538.40	0.00	736,538.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		23,612,080.06	22,386,241.00	835,867.11	392,971.88	-2,999.93							
2972	贵州省春晖行动发展基金会	2014	6,901,332.76	6,901,332.76	4,701,332.76	2,200,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		6,835,657.73	6,493,927.21	249,716.50	90,640.47	1,373.55							
2973	贵州省残疾人福利基金会	2014	2,156,530.00	2,156,530.00	0.00	2,156,530.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		3,584,989.01	3,505,225.00	15,342.00	64,422.01	0.00							
2974	贵州省毕节市见义勇为基金会	2014	310,000.00	310,000.00	0.00	310,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		560,298.50	558,900.00	0.00	1,398.50	0.00							
2975	贵州省禁毒基金会	2014	3,382,184.90	3,382,184.90	4,600.00	3,377,584.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		250,541.00	250,000.00	0.00	0.00	0.00							
2976	贵州省老龄事业发展基金会	2014	700,000.00	700,000.00	0.00	700,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		731,742.52	651,500.00	32,400.00	8,470.90	39,371.62							
2977	贵州省见义勇为基金会	2014	531,900.00	531,900.00	531,900.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		4,149,382.89	3,743,000.00	256,399.72	149,511.17	0.00							
2978	贵州省贵阳市生态文明基金会	2014	1,993,910.18	1,993,910.18	152,545.50	1,841,364.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		4,463,076.92	4,265,312.32	62,201.57	29,683.52	105,879.51							
2979	贵州省贵阳市见义勇为基金会	2014	72,500.00	72,500.00	4,500.00	68,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		283,611.00	283,611.00	0.00	0.00	0.00							
2980	贵州省送温暖基金会	2014	2,978,000.00	2,978,000.00	0.00	2,978,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,036,369.90	1,000,000.00	9,200.00	36,169.90	200.00							
2981	贵州省遵义市见义勇为基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		364,319.24	269,500.00	73,230.00	21,579.24	10.00							
2982	贵州省铜仁市见义勇为基金会	2014	669,023.00	669,023.00	15,953.00	653,070.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		774,470.50	761,636.00	0.00	9,500.00	3,334.50							
2983	贵州省青少年发展基金会	2014	146,806,956.86	146,806,956.86	0.00	146,806,956.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		149,725,237.53	146,310,780.53	1,582,960.00	1,130,718.26	254,716.12							
2984	贵州省青年创业就业基金会	2014	4,005,820.00	4,005,820.00	0.00	4,005,820.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		3,608,425.93	3,201,798.70	294,102.51	92,638.00	18,301.02							
2985	贵州省青年志愿服务基金会	2014	7,175,165.81	7,175,165.81	7,175,165.81	0.00	0.00	0.00	0.00	0.00	245.00	245.00	245.00	0.00	0.00	0.00	0.00	0.00		5,291,224.38	5,216,380.76	57,775.50	25,737.60	0.00							
2986	贵州省黔东南州见义勇为基金会	2014	6,920.00	6,920.00	0.00	6,920.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		572,829.60	549,156.20	16,800.00	6,873.40	0.00							
2987	贵州省黔南州见义勇为基金会	2014	151,457.58	151,457.58	4,050.00	147,407.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		153,140.00	133,000.00	6,000.00	14,140.00	0.00							
2988	贵州省黔西南州见义勇为基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100,042.40	86,255.00	0.00	13,787.40	0.00							
2989	资阳市关心下一代基金会	2014	1,554,286.40	1,554,286.40	454,892.00	1,099,394.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		2,001,560.30	1,831,853.30	0.00	64,102.00	105,605.00							
2990	资阳市雁江区教育基金会	2014	717,570.00	717,570.00	717,570.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,081,089.60	994,470.00	0.00	86,619.60	0.00							
2991	赣州市红十字博爱基金会	2014	2,772,351.63	2,772,351.63	119,878.00	2,652,473.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		4,407,994.23	4,258,700.00	92,261.68	57,032.55	0.00							
2992	赣州市青少年发展基金会	2014	2,050,111.90	2,050,111.90	0.00	2,050,111.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		4,202,244.80	4,032,685.40	66,594.00	102,870.20	95.20							
2994	赣榆县见义勇为基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		13,000.00	13,000.00	0.00	0.00	0.00							
2995	赤峰市人民教育基金会	2014	2,955,000.00	2,955,000.00	5,000.00	2,950,000.00	0.00	0.00	0.00	0.00	216,410.00	216,410.00	0.00	216,410.00	0.00	0.00	0.00	0.00		2,820,407.17	2,564,410.00	0.00	255,465.57	531.60							
2996	赤峰绿化基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		2,040,736.01	1,726,020.00	12,000.00	32,112.70	270,603.31							
2997	辽宁光达优抚爱心基金会	2014	540,000.00	540,000.00	0.00	540,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		202,803.28	152,920.00	33,029.22	13,513.50	3,340.56							
2998	辽宁爱之光防盲基金会	2014	5,112,761.11	5,112,761.11	23,952.18	5,088,808.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		5,313,602.39	5,001,703.89	158,515.27	142,273.83	11,109.40							
3000	辽宁省东北财经大学教育基金会	2014	194,060.00	194,060.00	0.00	194,060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		224,359.76	215,000.00	0.00	8,120.00	1,239.76							
3001	辽宁省体育基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,552,042.45	970,321.63	161,771.38	419,949.44	0.00							
3004	辽宁省公安民警英烈救助基金会	2014	6,904,800.00	6,904,800.00	0.00	6,904,800.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		22,803,556.50	22,741,600.98	36,000.00	25,955.52	0.00							
3005	辽宁省公益基金会	2014	1,065,810.61	1,065,810.61	0.00	1,065,810.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,885,749.42	1,732,229.44	81,392.00	72,127.98	0.00							
3006	辽宁省兴隆大家庭大病救助基金会	2014	1,400,000.00	1,400,000.00	0.00	1,400,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,448,607.00	1,436,451.50	0.00	12,155.50	0.00							
3007	辽宁省周延慈善基金会	2014	170,000.00	170,000.00	170,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		63,221.50	52,687.10	0.00	10,534.40	0.00							
3008	辽宁省国防教育基金会	2014	20,000.00	20,000.00	20,000.00	0.00	0.00	0.00	0.00	0.00	193,292.00	193,292.00	193,292.00	0.00	0.00	0.00	0.00	0.00		93,934.33	33,751.00	0.00	0.00	9,461.32							
3009	辽宁省大连交通大学教育基金会	2014	1,347,900.00	1,347,900.00	1,347,900.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		894,501.16	883,111.32	0.00	10,248.16	1,141.68							
3010	辽宁省大连海事大学博联助学基金会	2014	1,250,400.00	1,250,400.00	1,250,400.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		84,454.70	857,982.00	13,500.00	12,330.70	-799,358.00							
3011	辽宁省大连海事大学教育发展基金会	2014	6,427,798.00	6,427,798.00	435,928.00	5,991,870.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		2,979,941.86	2,966,909.20	0.00	13,032.60	0.06							
3012	辽宁省大连海洋大学教育发展基金会	2014	771,000.00	771,000.00	0.00	771,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		347,294.70	341,200.00	0.00	6,094.70	0.00							
